game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Myles Turner,Jahlil Okafor,,,,,,,Jahlil Okafor,,Darren Collison,,,,jump ball,,,,,,Jump Ball Okafor vs. Turner: Tip to Collison
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,0,00:11:40,00:00:20,00:00:20,7,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,16,-152,50,40.2,10.0,MISS Turner 16' Jump Shot
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,0,00:11:37,00:00:23,00:00:03,8,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,3,00:11:25,00:00:35,00:00:12,9,NOP,shot,Jrue Holiday,,,,,,,,,Darius Miller,3,,,made,,Jump Shot,25,129,217,37.9,67.3,Miller 25' 3PT Jump Shot (3 PTS) (Holiday 1 AST)
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,3,00:11:25,00:00:35,00:00:00,11,IND,foul,,,,,,,,Darius Miller,,Bojan Bogdanovic,,,s.foul,,,s.foul,,,,,,Bogdanovic S.FOUL (P1.T1) (R.Acosta)
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,4,00:11:25,00:00:35,00:00:00,13,NOP,free throw,,,,,,,1,,1,Darius Miller,1,,,made,,Free Throw 1 of 1,,,,,,Miller Free Throw 1 of 1 (4 PTS)
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,4,00:11:10,00:00:50,00:00:15,14,IND,miss,,,,,,,,,,Cory Joseph,0,,,missed,,Turnaround Jump Shot,15,38,148,21.2,19.8,MISS Joseph 15' Turnaround Jump Shot
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,4,00:11:07,00:00:53,00:00:03,15,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:0 Def:1)
"=""0021800793""",2018-2019 Regular Season,2019-02-04,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Cory Joseph,Darren Collison,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,1,0,4,00:10:58,00:01:02,00:00:09,16,NOP,miss,,,,,,,,,,Frank Jackson,0,,,missed,,unknown,2,21,8,27.1,88.2,MISS Jackson 2' Driving Layup
