game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Karl-Anthony Towns,Jaren Jackson Jr.,,,,,,,Jaren Jackson Jr.,,Ivan Rabb,,,,jump ball,,,,,,Jump Ball Jackson Jr. vs. Towns: Tip to Rabb
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:11:38,00:00:22,00:00:22,7,MEM,shot,Mike Conley,,,,,,,,,Jaren Jackson Jr.,3,,,made,,Jump Shot,25,-144,205,10.6,68.5,Jackson Jr. 25' 3PT Jump Shot (3 PTS) (Conley 1 AST)
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:11:18,00:00:42,00:00:20,9,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Turnaround Hook Shot,4,25,31,22.5,8.1,MISS Towns 4' Turnaround Hook Shot
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:11:15,00:00:45,00:00:03,10,MEM,rebound,,,,,,,,,,Jaren Jackson Jr.,,,,,,rebound defensive,,,,,,Jackson Jr. REBOUND (Off:0 Def:1)
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:11:02,00:00:58,00:00:13,11,MEM,miss,,,,,,,,,,Ivan Rabb,0,,,missed,,Jump Shot,19,117,155,36.7,73.5,MISS Rabb 19' Jump Shot
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:11:00,00:01:00,00:00:02,12,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:10:52,00:01:08,00:00:08,13,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Turnaround Fadeaway ,11,64,88,18.6,13.8,MISS Wiggins 11' Turnaround Fadeaway Shot
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:10:48,00:01:12,00:00:04,14,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021800801""",2018-2019 Regular Season,2019-02-05,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jerryd Bayless,Julian Washburn,Jaren Jackson Jr.,Ivan Rabb,Justin Holiday,Mike Conley,1,0,3,00:10:44,00:01:16,00:00:04,15,MIN,foul,,,,,,,,Jaren Jackson Jr.,,Andrew Wiggins,,,s.foul,,,s.foul,,,,,,Wiggins S.FOUL (P1.T1) (B.Barnaky)
