game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Hassan Whiteside,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Nurkic vs. Whiteside: Tip to Olynyk
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,0,00:11:37,00:00:23,00:00:23,7,MIA,shot,,,,,,,,,,Hassan Whiteside,2,,,made,,Turnaround Hook Shot,3,-21,24,27.1,7.4,Whiteside 3' Turnaround Hook Shot (2 PTS)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:19,00:00:41,00:00:18,8,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,Step Back Jump Shot,20,-109,173,14.1,71.7,McCollum 20' Step Back Jump Shot (2 PTS)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:04,00:00:56,00:00:15,9,MIA,miss,,,,,,,,,,Justise Winslow,0,,,missed,,Pullup Jump Shot,14,126,67,12.4,11.7,MISS Winslow 14' Pullup Jump Shot
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:01,00:00:59,00:00:03,10,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound offensive,,,,,,Olynyk REBOUND (Off:1 Def:0)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:00,00:01:00,00:00:01,11,MIA,miss,,,,,,,,,,Kelly Olynyk,0,,,missed,,Putback Layup,2,1,23,24.9,7.3,MISS Olynyk 2' Putback Layup
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:00,00:01:00,00:00:00,12,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound offensive,,,,,,Whiteside REBOUND (Off:1 Def:0)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:57,00:01:03,00:00:03,13,MIA,shot,,,,,,,,,,Hassan Whiteside,2,,,made,,unknown,1,0,-6,25.0,4.4,Whiteside 1' Tip Layup Shot (4 PTS)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:45,00:01:15,00:00:12,14,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Jump Shot,22,143,164,39.3,72.6,MISS Nurkic 22' Jump Shot
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:43,00:01:17,00:00:02,15,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:38,00:01:22,00:00:05,16,MIA,miss,,,,,,,,,,Tyler Johnson,0,,,missed,,Jump Shot,24,206,132,4.4,18.2,MISS Johnson 24' 3PT Jump Shot
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:36,00:01:24,00:00:02,17,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:31,00:01:29,00:00:05,18,POR,miss,,,,Tyler Johnson,,,,,,Damian Lillard,0,,,missed,,Pullup Jump Shot,26,-78,244,17.2,64.6,"Johnson BLOCK (1 BLK), MISS Lillard 26' 3PT Pullup Jump Shot"
"=""0021800803""",2018-2019 Regular Season,2019-02-05,Tyler Johnson,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:28,00:01:32,00:00:03,20,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:1 Def:1)
