game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Mason Plumlee,Jarrett Allen,,,,,,,Jarrett Allen,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Allen vs. Plumlee: Tip to Murray
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:42,00:00:18,00:00:18,7,BKN,jump ball,,Nikola Jokic,Rodions Kurucs,,,,,,,Rodions Kurucs,,Jarrett Allen,,,,jump ball,,,,,,Jump Ball Kurucs vs. Jokic: Tip to Allen
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:42,00:00:18,00:00:00,10,DEN,turnover,,,,,,,,,,Jamal Murray,,,bad pass ,,Treveon Graham,bad pass ,,,,,,"Murray Bad Pass Turnover (P1.T1), Graham STEAL (1 STL)"
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:26,00:00:34,00:00:16,12,BKN,miss,,,,Mason Plumlee,,,,,,Jarrett Allen,0,,,missed,,Layup,3,-24,10,22.6,88.0,"Plumlee BLOCK (1 BLK), MISS Allen 3' Layup"
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:26,00:00:34,00:00:00,14,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:17,00:00:43,00:00:09,15,DEN,shot,Jamal Murray,,,,,,,,,Will Barton,3,,,made,,Jump Shot,24,82,229,16.8,27.9,Barton 24' 3PT Jump Shot (3 PTS) (Murray 1 AST)
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:05,00:00:55,00:00:12,17,BKN,miss,,,,,,,,,,Rodions Kurucs,0,,,missed,,Jump Shot,26,-6,259,24.4,63.1,MISS Kurucs 26' 3PT Jump Shot
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:11:03,00:00:57,00:00:02,18,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800804""",2018-2019 Regular Season,2019-02-06,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,1,5,0,00:10:51,00:01:09,00:00:12,19,DEN,shot,Nikola Jokic,,,,,,,,,Mason Plumlee,2,,,made,,unknown,1,-4,8,25.4,5.8,Plumlee 1' Cutting Dunk Shot (2 PTS) (Jokic 1 AST)
