game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Jahlil Okafor,Robin Lopez,,,,,,,Robin Lopez,,Zach LaVine,,,,jump ball,,,,,,Jump Ball Lopez vs. Okafor: Tip to LaVine
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:38,00:00:22,00:00:22,7,CHI,shot,,,,,,,,,,Robin Lopez,2,,,made,,Turnaround Hook Shot,7,25,61,27.5,82.9,Lopez 7' Turnaround Hook Shot (2 PTS)
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:21,00:00:39,00:00:17,8,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Jump Shot,26,-114,232,36.4,28.2,MISS Holiday 26' 3PT Jump Shot
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:18,00:00:42,00:00:03,9,NOP,rebound,,,,,,,,,,Frank Jackson,,,,,,rebound offensive,,,,,,Jackson REBOUND (Off:1 Def:0)
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,2,00:11:10,00:00:50,00:00:08,10,NOP,shot,Frank Jackson,,,,,,,,,Jahlil Okafor,2,,,made,,unknown,1,-5,8,25.5,5.8,Okafor 1' Driving Dunk (2 PTS) (Jackson 1 AST)
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,2,00:10:52,00:01:08,00:00:18,12,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,27,122,240,37.2,65.0,MISS Markkanen 27' 3PT Jump Shot
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,2,00:10:52,00:01:08,00:00:00,13,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound offensive,,,,,,Lopez REBOUND (Off:1 Def:0)
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,5,00:10:42,00:01:18,00:00:10,14,CHI,shot,,,,,,,,,,Wayne Selden,3,,,made,,Pullup Jump Shot,26,7,256,25.7,63.4,Selden 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800805""",2018-2019 Regular Season,2019-02-06,Darius Miller,Kenrich Williams,Jahlil Okafor,Jrue Holiday,Frank Jackson,Wayne Selden,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,4,5,00:10:20,00:01:40,00:00:22,15,NOP,shot,,,,,,,,,,Frank Jackson,2,,,made,,unknown,2,-19,5,26.9,5.5,Jackson 2' Driving Layup (2 PTS)
