game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bismack Biyombo,Maxi Kleber,,,,,,,Maxi Kleber,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Kleber vs. Biyombo: Tip to Williams
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:43,00:00:17,00:00:17,7,CHA,turnover,,,,,,,,,,Jeremy Lamb,,,traveling ,,,traveling ,,,,,,Lamb Traveling Turnover (P1.T1)
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:31,00:00:29,00:00:12,8,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Jump Shot,24,204,133,45.4,75.7,MISS Barnes 24' 3PT Jump Shot
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:28,00:00:32,00:00:03,9,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound offensive,,,,,,Finney-Smith REBOUND (Off:1 Def:0)
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:21,00:00:39,00:00:07,10,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Step Back Jump Shot,26,-116,238,13.4,65.2,MISS Doncic 26' 3PT Step Back Jump Shot
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:19,00:00:41,00:00:02,11,DAL,rebound,,,,,,,,,,Maxi Kleber,,,,,,rebound offensive,,,,,,Kleber REBOUND (Off:1 Def:0)
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:05,00:00:55,00:00:14,12,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Step Back Jump Shot,25,-224,118,2.6,77.2,MISS Doncic 25' 3PT Step Back Jump Shot
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:01,00:00:59,00:00:04,13,CHA,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
"=""0021800807""",2018-2019 Regular Season,2019-02-06,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Dorian Finney-Smith,Harrison Barnes,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:54,00:01:06,00:00:07,14,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Driving Finger Roll Layup,0,3,-1,24.7,4.9,Walker  Driving Finger Roll Layup (2 PTS)
