game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Montrezl Harrell,Myles Turner,,,,,,,Myles Turner,,Shai Gilgeous-Alexander,,,,jump ball,,,,,,Jump Ball Turner vs. Harrell: Tip to Gilgeous-Alexander
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:11:37,00:00:23,00:00:23,7,LAC,turnover,,,,,,,,,,Montrezl Harrell,,,lost ball ,,Thaddeus Young,lost ball ,,,,,,"Harrell Lost Ball Turnover (P1.T1), Young STEAL (1 STL)"
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:11:36,00:00:24,00:00:01,9,IND,turnover,,,,,,,,,,Thaddeus Young,,,lost ball ,,Montrezl Harrell,lost ball ,,,,,,"Harrell STEAL (1 STL), Young Lost Ball Turnover (P1.T1)"
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,3,0,00:11:33,00:00:27,00:00:03,11,LAC,shot,Montrezl Harrell,,,,,,,,,Danilo Gallinari,3,,,made,,Jump Shot,28,-13,278,26.3,32.8,Gallinari 28' 3PT Jump Shot (3 PTS) (Harrell 1 AST)
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,3,2,00:11:16,00:00:44,00:00:17,13,IND,shot,Thaddeus Young,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,1,-1,-5,24.9,89.5,Bogdanovic 1' Cutting Layup Shot (2 PTS) (Young 1 AST)
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,3,2,00:11:03,00:00:57,00:00:13,15,LAC,turnover,,,,,,,,,,Sindarius Thornwell,,,bad pass ,,Thaddeus Young,bad pass ,,,,,,"Thornwell Bad Pass Turnover (P1.T2), Young STEAL (2 STL)"
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,3,4,00:10:50,00:01:10,00:00:13,17,IND,shot,,,,,,,,,,Myles Turner,2,,,made,,Layup,1,6,-8,25.6,89.8,Turner 1' Layup (2 PTS)
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,5,4,00:10:35,00:01:25,00:00:15,18,LAC,shot,Danilo Gallinari,,,,,,,,,Montrezl Harrell,2,,,made,,Layup,1,2,8,24.8,5.8,Harrell 1' Layup (2 PTS) (Gallinari 1 AST)
"=""0021800811""",2018-2019 Regular Season,2019-02-07,Sindarius Thornwell,Danilo Gallinari,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,5,4,00:10:10,00:01:50,00:00:25,20,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,0,2,-1,25.2,89.1,MISS Bogdanovic  Driving Layup
