game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,LaMarcus Aldridge,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Nurkic vs. Aldridge: Tip to Harkless
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:38,00:00:22,00:00:22,7,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Jump Shot,17,-96,138,15.4,75.2,MISS Nurkic 17' Jump Shot
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:36,00:00:24,00:00:02,8,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:35,00:00:25,00:00:01,11,POR,turnover,,,,,,,,,,Maurice Harkless,,,offensive goaltending,,,offensive goaltending,,,,,,Harkless Offensive Goaltending Turnover (P1.T1)
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:17,00:00:43,00:00:18,12,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,13,5,134,24.5,18.4,MISS DeRozan 13' Pullup Jump Shot
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:16,00:00:44,00:00:01,13,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:1 Def:0)
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,0,00:11:12,00:00:48,00:00:04,14,SAS,shot,Rudy Gay,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,30,-71,296,32.1,34.6,Forbes 30' 3PT Jump Shot (3 PTS) (Gay 1 AST)
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,0,00:11:01,00:00:59,00:00:11,16,POR,foul,,,,,,,,Bryn Forbes,,Maurice Harkless,,,off.foul,,,off.foul,,,,,,Harkless OFF.Foul (P1) (T.Maddox)
"=""0021800816""",2018-2019 Regular Season,2019-02-07,Davis Bertans,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,0,00:11:01,00:00:59,00:00:00,18,POR,turnover,,,,,,,,,,Maurice Harkless,,,offensive foul turnover,,,offensive foul turnover,,,,,,Harkless Offensive Foul Turnover (P2.T2)
