game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Nikola Jokic,Joel Embiid,,,,,,,Joel Embiid,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Embiid vs. Jokic: Tip to Murray
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:39,00:00:21,00:00:21,7,DEN,turnover,,,,,,,,,,Nikola Jokic,,,traveling ,,,traveling ,,,,,,Jokic Traveling Turnover (P1.T1)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:29,00:00:31,00:00:10,8,PHI,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Layup,2,14,20,26.4,87.0,MISS Harris 2' Layup
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:26,00:00:34,00:00:03,9,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:23,00:00:37,00:00:03,10,PHI,foul,,,,,,,,Nikola Jokic,,Tobias Harris,,,p.foul,,,p.foul,,,,,,Harris P.FOUL (P1.T1) (C.Kirkland)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:20,00:00:40,00:00:03,12,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Jump Shot,26,-116,238,36.6,28.8,MISS Jokic 26' 3PT Jump Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:17,00:00:43,00:00:03,13,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:0)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:12,00:00:48,00:00:05,14,DEN,shot,Nikola Jokic,,,,,,,,,Mason Plumlee,2,,,made,,unknown,1,-1,5,25.1,5.5,Plumlee 1' Cutting Dunk Shot (2 PTS) (Jokic 1 AST)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:59,00:01:01,00:00:13,16,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Pullup Jump Shot,5,-43,17,20.7,87.3,MISS Embiid 5' Pullup Jump Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:56,00:01:04,00:00:03,17,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:1 Def:1)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:37,00:01:23,00:00:19,18,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Pullup Jump Shot,26,-154,215,40.4,26.5,MISS Murray 26' 3PT Pullup Jump Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:33,00:01:27,00:00:04,19,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:17,00:01:43,00:00:16,20,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,Turnaround Hook Shot,7,67,-18,31.7,90.8,Simmons 7' Turnaround Hook Shot (2 PTS)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:05,00:01:55,00:00:12,21,DEN,miss,,,,,,,,,,Will Barton,0,,,missed,,unknown,3,-24,13,27.4,6.3,MISS Barton 3' Driving Layup
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:03,00:01:57,00:00:02,22,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:2)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:01,00:01:59,00:00:02,23,PHI,turnover,,,,,,,,,,Ben Simmons,,,lost ball ,,Mason Plumlee,lost ball ,,,,,,"Plumlee STEAL (1 STL), Simmons Lost Ball Turnover (P1.T1)"
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,4,2,00:09:54,00:02:06,00:00:07,25,DEN,shot,Mason Plumlee,,,,,,,,,Nikola Jokic,2,,,made,,Finger Roll Layup,2,-16,18,26.6,6.8,Jokic 2' Finger Roll Layup (2 PTS) (Plumlee 1 AST)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,4,4,00:09:45,00:02:15,00:00:09,27,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,unknown,2,9,14,25.9,87.6,Embiid 2' Driving Layup (2 PTS)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,4,00:09:33,00:02:27,00:00:12,28,DEN,shot,Mason Plumlee,,,,,,,,,Jamal Murray,2,,,made,,unknown,1,-14,0,26.4,5.0,Murray 1' Cutting Finger Roll Layup Shot (2 PTS) (Plumlee 2 AST)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,4,00:09:18,00:02:42,00:00:15,30,DEN,foul,,,,,,,,Joel Embiid,,Mason Plumlee,,,s.foul,,,s.foul,,,,,,Plumlee S.FOUL (P1.T1) (C.Kirkland)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,5,00:09:18,00:02:42,00:00:00,32,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,Free Throw 1 of 2,,,,,,Embiid Free Throw 1 of 2 (3 PTS)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,6,00:09:18,00:02:42,00:00:00,33,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,Free Throw 2 of 2,,,,,,Embiid Free Throw 2 of 2 (4 PTS)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,6,00:09:00,00:03:00,00:00:18,34,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Hook Shot,8,-6,75,25.6,12.5,MISS Jokic 8' Hook Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,6,00:08:57,00:03:03,00:00:03,35,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,9,00:08:52,00:03:08,00:00:05,36,PHI,shot,Ben Simmons,,,,,,,,,Tobias Harris,3,,,made,,Jump Shot,25,-141,206,10.9,68.4,Harris 25' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,9,00:08:22,00:03:38,00:00:30,38,DEN,miss,,,,,,,,,,Malik Beasley,0,,,missed,,Jump Shot,25,36,252,21.4,30.2,MISS Beasley 25' 3PT Jump Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,9,00:08:19,00:03:41,00:00:03,39,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:2)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,11,00:08:10,00:03:50,00:00:09,40,PHI,shot,,,,,,,,,,Tobias Harris,2,,,made,,Fadeaway Jumper,7,13,73,26.3,81.7,Harris 7' Fadeaway Jumper (5 PTS)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,11,00:07:54,00:04:06,00:00:16,41,DEN,miss,,,,,,,,,,Malik Beasley,0,,,missed,,unknown,2,5,15,24.5,6.5,MISS Beasley 2' Driving Layup
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,11,00:07:51,00:04:09,00:00:03,42,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:3)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,14,00:07:48,00:04:12,00:00:03,43,PHI,shot,Tobias Harris,,,,,,,,,JJ Redick,3,,,made,,Jump Shot,26,-178,184,7.2,70.6,Redick 26' 3PT Jump Shot (3 PTS) (Harris 1 AST)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,14,00:07:47,00:04:13,00:00:01,45,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Nuggets Timeout: Regular (Reg.1 Short 0)
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,14,00:07:32,00:04:28,00:00:15,46,DEN,miss,,,,,,,,,,Will Barton,0,,,missed,,Step Back Jump Shot,23,-118,199,36.8,24.9,MISS Barton 23' Step Back Jump Shot
"=""0021800818""",2018-2019 Regular Season,2019-02-08,Will Barton,Mason Plumlee,Nikola Jokic,Malik Beasley,Jamal Murray,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,6,14,00:07:28,00:04:32,00:00:04,47,PHI,rebound,,,,,,,,,,JJ Redick,,,,,,rebound defensive,,,,,,Redick REBOUND (Off:0 Def:1)
