game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Brook Lopez,Maxi Kleber,,,,,,,Maxi Kleber,,Jalen Brunson,,,,jump ball,,,,,,Jump Ball Kleber vs. Lopez: Tip to Brunson
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:42,00:00:18,00:00:18,7,DAL,miss,,,,,,,,,,Maxi Kleber,0,,,missed,,Jump Shot,25,106,224,35.6,66.6,MISS Kleber 25' 3PT Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:39,00:00:21,00:00:03,8,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:32,00:00:28,00:00:07,9,MIL,miss,,,,,,,,,,Tony Snell,0,,,missed,,Jump Shot,24,-234,49,48.4,9.9,MISS Snell 24' 3PT Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:29,00:00:31,00:00:03,10,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound defensive,,,,,,Finney-Smith REBOUND (Off:0 Def:1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:22,00:00:38,00:00:07,11,DAL,miss,,,,Brook Lopez,,,,,,Luka Doncic,0,,,missed,,unknown,8,20,75,27.0,81.5,"Lopez BLOCK (1 BLK), MISS Doncic 8' Driving Floating Jump Shot"
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,0,0,00:11:20,00:00:40,00:00:02,13,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:11:15,00:00:45,00:00:05,14,MIL,shot,Eric Bledsoe,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Finger Roll Layup,1,-12,2,26.2,5.2,Antetokounmpo 1' Finger Roll Layup (2 PTS) (Bledsoe 1 AST)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:56,00:01:04,00:00:19,16,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,unknown,1,1,6,25.1,88.4,MISS Doncic 1' Running Alley Oop Layup Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:54,00:01:06,00:00:02,17,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:2)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:45,00:01:15,00:00:09,18,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Pullup Jump Shot,20,-47,196,29.7,24.6,MISS Bledsoe 20' Pullup Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:42,00:01:18,00:00:03,19,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:31,00:01:29,00:00:11,20,DAL,miss,,,,,,,,,,Jalen Brunson,0,,,missed,,Step Back Jump Shot,25,-81,237,16.9,65.3,MISS Brunson 25' 3PT Step Back Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,2,0,00:10:28,00:01:32,00:00:03,21,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:2)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,4,0,00:10:23,00:01:37,00:00:05,22,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Running Dunk,1,-8,4,25.8,5.4,Antetokounmpo 1' Running Dunk (4 PTS)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,4,0,00:10:07,00:01:53,00:00:16,23,DAL,miss,,,,,,,,,,Maxi Kleber,0,,,missed,,Jump Shot,25,38,251,28.8,63.9,MISS Kleber 25' 3PT Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,4,0,00:10:04,00:01:56,00:00:03,24,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,6,0,00:09:58,00:02:02,00:00:06,25,MIL,shot,,,,,,,,,,Malcolm Brogdon,2,,,made,,Running Layup,1,-1,10,25.1,6.0,Brogdon 1' Running Layup (2 PTS)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,6,0,00:09:47,00:02:13,00:00:11,26,DAL,turnover,,,,,,,,,,Dorian Finney-Smith,,,,,,unknown,,,,,,Finney-Smith Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,6,0,00:09:25,00:02:35,00:00:22,27,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,26,214,141,3.6,19.1,MISS Lopez 26' 3PT Jump Shot
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,6,0,00:09:24,00:02:36,00:00:01,28,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:2)
"=""0021800821""",2018-2019 Regular Season,2019-02-08,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Tim Hardaway Jr.,Dorian Finney-Smith,Maxi Kleber,Jalen Brunson,Luka Doncic,1,8,0,00:09:17,00:02:43,00:00:07,29,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Driving Finger Roll Layup,1,-12,7,26.2,5.7,Antetokounmpo 1' Driving Finger Roll Layup (6 PTS)
