game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Hassan Whiteside,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Whiteside: Tip to Olynyk
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:47,00:00:13,00:00:13,7,MIA,shot,Kelly Olynyk,,,,,,,,,Josh Richardson,2,,,made,,unknown,2,18,12,23.2,6.2,Richardson 2' Cutting Layup Shot (2 PTS) (Olynyk 1 AST)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:47,00:00:13,00:00:00,9,SAC,violation,,,,,,,,,,Harrison Barnes,,,,,,violation:defensive goaltending,,,,,,Barnes Violation:Defensive Goaltending (B.Nansel)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:25,00:00:35,00:00:22,10,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Step Back Jump Shot,15,-154,16,9.6,87.4,MISS Hield 15' Step Back Jump Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:22,00:00:38,00:00:03,11,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:14,00:00:46,00:00:08,12,MIA,miss,,,,Buddy Hield,,,,,,Dion Waiters,0,,,missed,,unknown,2,-14,15,26.4,6.5,"MISS Waiters 2' Driving Layup, Hield BLOCK (1 BLK)"
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:14,00:00:46,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Heat Rebound
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:11,00:00:49,00:00:03,16,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Pullup Jump Shot,19,35,189,21.5,23.9,MISS Richardson 19' Pullup Jump Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:08,00:00:52,00:00:03,21,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KINGS Rebound
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:11:08,00:00:52,00:00:00,17,MIA,foul,,,,,,,,Willie Cauley-Stein,,Hassan Whiteside,,,l.b.foul,,,l.b.foul,,,,,,Whiteside L.B.FOUL (P1.T1) (S.Foster)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:10:57,00:01:03,00:00:11,19,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,bad pass ,,Hassan Whiteside,bad pass ,,,,,,"Whiteside STEAL (1 STL), Fox Bad Pass Turnover (P1.T1)"
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:10:46,00:01:14,00:00:11,22,MIA,turnover,,,,,,,,,,Kelly Olynyk,,,bad pass ,,Willie Cauley-Stein,bad pass ,,,,,,"Olynyk Bad Pass Turnover (P1.T1), Cauley-Stein STEAL (1 STL)"
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:10:38,00:01:22,00:00:08,24,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Jump Shot,25,-223,106,2.7,78.4,MISS Hield 25' 3PT Jump Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:10:35,00:01:25,00:00:03,25,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:10:31,00:01:29,00:00:04,26,MIA,shot,Dion Waiters,,,,,,,,,Kelly Olynyk,3,,,made,,Jump Shot,25,-161,190,41.1,24.0,Olynyk 25' 3PT Jump Shot (3 PTS) (Waiters 1 AST)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:10:11,00:01:49,00:00:20,28,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,unknown,3,27,13,27.7,87.7,MISS Bjelica 3' Driving Layup
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:10:07,00:01:53,00:00:04,29,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound offensive,,,,,,Bjelica REBOUND (Off:1 Def:0)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:10:07,00:01:53,00:00:00,30,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,unknown,1,0,-6,25.0,89.6,MISS Bjelica 1' Tip Layup Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:10:07,00:01:53,00:00:00,31,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:2)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:56,00:02:04,00:00:11,32,MIA,miss,,,,,,,,,,Hassan Whiteside,0,,,missed,,Hook Shot,5,47,8,20.3,5.8,MISS Whiteside 5' Hook Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:53,00:02:07,00:00:03,33,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:43,00:02:17,00:00:10,34,SAC,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Fadeaway Jumper,17,67,158,31.7,73.2,MISS Barnes 17' Fadeaway Jumper
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:39,00:02:21,00:00:04,35,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:3)
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:25,00:02:35,00:00:14,36,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,Step Back Jump Shot,20,95,179,15.5,22.9,MISS Waiters 20' Step Back Jump Shot
"=""0021800824""",2018-2019 Regular Season,2019-02-08,Dion Waiters,Kelly Olynyk,Hassan Whiteside,Josh Richardson,Justise Winslow,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,0,00:09:22,00:02:38,00:00:03,37,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:2)
