game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Jakob Poeltl,Rudy Gobert,,,,,,,Rudy Gobert,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Gobert vs. Poeltl: Tip to Favors
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:40,00:00:20,00:00:20,7,UTA,shot,Rudy Gobert,,,,,,,,,Joe Ingles,3,,,made,,Step Back Jump Shot,24,220,104,47.0,78.6,Ingles 24' 3PT Step Back Jump Shot (3 PTS) (Gobert 1 AST)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:25,00:00:35,00:00:15,9,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,9,-52,78,30.2,12.8,MISS DeRozan 9' Pullup Jump Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,3,00:11:23,00:00:37,00:00:02,10,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:16,00:00:44,00:00:07,11,UTA,shot,Joe Ingles,,,,,,,,,Derrick Favors,2,,,made,,Jump Shot,16,19,157,26.9,73.3,Favors 16' Jump Shot (2 PTS) (Ingles 1 AST)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,5,00:11:00,00:01:00,00:00:16,13,SAS,shot,LaMarcus Aldridge,,,,,,,,,DeMar DeRozan,2,,,made,,unknown,3,-23,10,27.3,6.0,DeRozan 3' Driving Layup (2 PTS) (Aldridge 1 AST)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,5,00:11:00,00:01:00,00:00:00,15,UTA,foul,,,,,,,,DeMar DeRozan,,Derrick Favors,,,s.foul,,,s.foul,,,,,,Favors S.FOUL (P1.T1) (K.Mauer)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,5,00:11:00,00:01:00,00:00:00,17,SAS,free throw,,,,,,,1,,1,DeMar DeRozan,1,,,made,,Free Throw 1 of 1,,,,,,DeRozan Free Throw 1 of 1 (3 PTS)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,5,00:10:54,00:01:06,00:00:06,18,SAS,foul,,,,,,,,Joe Ingles,,Davis Bertans,,,p.foul,,,p.foul,,,,,,Bertans P.FOUL (P1.T1) (B.Forte)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,5,00:10:49,00:01:11,00:00:05,20,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,24,239,37,48.9,85.3,MISS Ingles 24' 3PT Jump Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,5,00:10:45,00:01:15,00:00:04,21,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,5,00:10:33,00:01:27,00:00:12,22,SAS,shot,LaMarcus Aldridge,,,,,,,,,Jakob Poeltl,2,,,made,,unknown,2,14,12,23.6,6.2,Poeltl 2' Cutting Dunk Shot (2 PTS) (Aldridge 2 AST)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:10:10,00:01:50,00:00:23,24,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,Pullup Jump Shot,16,-87,138,16.3,75.2,Mitchell 16' Pullup Jump Shot (2 PTS)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:10:00,00:02:00,00:00:10,25,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,21,-186,89,43.6,13.9,MISS DeRozan 21' Pullup Jump Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:58,00:02:02,00:00:02,26,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:50,00:02:10,00:00:08,27,UTA,turnover,,,,,,,,,,Rudy Gobert,,,lost ball ,,Davis Bertans,lost ball ,,,,,,"Bertans STEAL (1 STL), Gobert Lost Ball Turnover (P1.T1)"
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:43,00:02:17,00:00:07,29,SAS,turnover,,,,,,,,,,DeMar DeRozan,,,lost ball ,,Derrick Favors,lost ball ,,,,,,"DeRozan Lost Ball Turnover (P1.T1), Favors STEAL (1 STL)"
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:34,00:02:26,00:00:09,31,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,23,232,-11,48.2,90.1,MISS Favors  3PT Jump Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:31,00:02:29,00:00:03,32,UTA,rebound,,,,,,,,,,Donovan Mitchell,,,,,,rebound offensive,,,,,,Mitchell REBOUND (Off:1 Def:0)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:27,00:02:33,00:00:04,33,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Jump Shot,25,158,192,40.8,69.8,MISS Rubio 25' 3PT Jump Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,5,7,00:09:23,00:02:37,00:00:04,34,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,7,7,00:09:07,00:02:53,00:00:16,35,SAS,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,Step Back Jump Shot,11,9,106,24.1,15.6,Aldridge 11' Step Back Jump Shot (2 PTS)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,7,7,00:08:51,00:03:09,00:00:16,36,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Hook Shot,4,0,41,25.0,84.9,MISS Favors 4' Hook Shot
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,7,7,00:08:48,00:03:12,00:00:03,37,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:2)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,9,7,00:08:41,00:03:19,00:00:07,38,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Pullup Jump Shot,19,-56,185,30.6,23.5,DeRozan 19' Pullup Jump Shot (5 PTS)
"=""0021800825""",2018-2019 Regular Season,2019-02-09,Davis Bertans,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,9,7,00:08:17,00:03:43,00:00:24,39,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Step Back Jump Shot,25,122,222,37.2,66.8,MISS Mitchell 25' 3PT Step Back Jump Shot
