game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Larry Nance Jr.,Myles Turner,,,,,,,Myles Turner,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Turner vs. Nance Jr.: Tip to Young
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:11:41,00:00:19,00:00:19,8,CLE,foul,,,,,,,,Bojan Bogdanovic,,Larry Nance Jr.,,,s.foul,,,s.foul,,,,,,Nance Jr. S.FOUL (P1.T1) (J.Van Duyne)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,1,00:11:41,00:00:19,00:00:00,10,IND,free throw,,,,,,,1,,2,Bojan Bogdanovic,1,,,made,,Free Throw 1 of 2,,,,,,Bogdanovic Free Throw 1 of 2 (1 PTS)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,2,00:11:41,00:00:19,00:00:00,11,IND,free throw,,,,,,,2,,2,Bojan Bogdanovic,1,,,made,,Free Throw 2 of 2,,,,,,Bogdanovic Free Throw 2 of 2 (2 PTS)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,2,00:11:21,00:00:39,00:00:20,12,CLE,miss,,,,,,,,,,Larry Nance Jr.,0,,,missed,,Jump Shot,17,-152,70,40.2,12.0,MISS Nance Jr. 17' Jump Shot
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,2,00:11:17,00:00:43,00:00:04,13,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,2,00:11:13,00:00:47,00:00:04,14,IND,miss,,,,,,,,,,Tyreke Evans,0,,,missed,,Jump Shot,29,160,239,41.0,65.1,MISS Evans 29' 3PT Jump Shot
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,2,00:11:10,00:00:50,00:00:03,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Cavaliers Rebound
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:10:53,00:01:07,00:00:17,17,CLE,shot,Collin Sexton,,,,,,,,,Larry Nance Jr.,2,,,made,,Dunk,0,-1,-1,25.1,4.9,Nance Jr.  Dunk (2 PTS) (Sexton 1 AST)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:10:39,00:01:21,00:00:14,19,CLE,foul,,,,,,,,Myles Turner,,Collin Sexton,,,p.foul,,,p.foul,,,,,,Sexton P.FOUL (P1.T2) (J.Van Duyne)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,4,00:10:29,00:01:31,00:00:10,21,IND,shot,Darren Collison,,,,,,,,,Myles Turner,2,,,made,,unknown,2,-3,22,24.7,86.8,Turner 2' Driving Dunk (2 PTS) (Collison 1 AST)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,5,4,00:10:14,00:01:46,00:00:15,23,CLE,shot,Collin Sexton,,,,,,,,,Marquese Chriss,3,,,made,,Jump Shot,25,81,236,16.9,28.6,Chriss 25' 3PT Jump Shot (3 PTS) (Sexton 2 AST)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,5,7,00:10:02,00:01:58,00:00:12,25,IND,shot,Tyreke Evans,,,,,,,,,Myles Turner,3,,,made,,Jump Shot,26,0,260,25.0,63.0,Turner 26' 3PT Jump Shot (5 PTS) (Evans 1 AST)
"=""0021800826""",2018-2019 Regular Season,2019-02-09,Deng Adel,Larry Nance Jr.,Marquese Chriss,David Nwaba,Collin Sexton,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,5,7,00:09:47,00:02:13,00:00:15,27,CLE,miss,,,,,,,,,,David Nwaba,0,,,missed,,Floating Jump Shot,8,-9,83,25.9,13.3,MISS Nwaba 8' Floating Jump Shot
