game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Cody Zeller,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Trae Young,,,,jump ball,,,,,,Jump Ball Dedmon vs. Zeller: Tip to Young
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:49,00:00:11,00:00:11,7,ATL,turnover,,,,,,,,,,Taurean Prince,,,bad pass ,,Marvin Williams,bad pass ,,,,,,"Williams STEAL (1 STL), Prince Bad Pass Turnover (P1.T1)"
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,0,00:11:42,00:00:18,00:00:07,9,CHA,shot,Kemba Walker,,,,,,,,,Jeremy Lamb,3,,,made,,Jump Shot,25,-124,215,37.4,26.5,Lamb 25' 3PT Jump Shot (3 PTS) (Walker 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,0,00:11:26,00:00:34,00:00:16,11,ATL,miss,,,,Jeremy Lamb,,,,,,Kevin Huerter,0,,,missed,,unknown,2,-18,13,23.2,87.7,"Lamb BLOCK (1 BLK), MISS Huerter 2' Driving Layup"
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,0,00:11:26,00:00:34,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,0,00:11:16,00:00:44,00:00:10,15,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,23,-229,-14,2.1,90.4,MISS Prince  3PT Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,0,00:11:10,00:00:50,00:00:06,16,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,0,00:11:05,00:00:55,00:00:05,17,CHA,shot,Kemba Walker,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,25,-98,231,34.8,28.1,Williams 25' 3PT Jump Shot (3 PTS) (Walker 2 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,0,00:10:40,00:01:20,00:00:25,19,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Jump Shot,25,223,104,47.3,78.6,MISS Dedmon 25' 3PT Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,0,00:10:38,00:01:22,00:00:02,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,0,00:10:35,00:01:25,00:00:03,22,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Jump Shot,24,223,89,47.3,80.1,MISS Young 24' 3PT Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,0,00:10:33,00:01:27,00:00:02,23,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,8,0,00:10:28,00:01:32,00:00:05,24,CHA,shot,Nicolas Batum,,,,,,,,,Cody Zeller,2,,,made,,Alley Oop Dunk,1,-2,10,25.2,6.0,Zeller 1' Alley Oop Dunk (2 PTS) (Batum 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,8,0,00:10:13,00:01:47,00:00:15,26,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Driving Reverse Layup,1,-2,12,24.8,87.8,MISS Huerter 1' Driving Reverse Layup
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,8,0,00:10:11,00:01:49,00:00:02,27,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound offensive,,,,,,Collins REBOUND (Off:1 Def:0)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,8,2,00:10:11,00:01:49,00:00:00,28,ATL,shot,,,,,,,,,,John Collins,2,,,made,,unknown,1,0,-6,25.0,89.6,Collins 1' Tip Dunk Shot (2 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,2,00:10:00,00:02:00,00:00:11,30,CHA,shot,Cody Zeller,,,,,,,,,Nicolas Batum,3,,,made,,Jump Shot,24,-200,141,45.0,19.1,Batum 24' 3PT Jump Shot (3 PTS) (Zeller 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,4,00:09:47,00:02:13,00:00:13,32,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,unknown,1,2,5,25.2,88.5,Collins 1' Cutting Layup Shot (4 PTS) (Young 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,13,4,00:09:33,00:02:27,00:00:14,34,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Pullup Jump Shot,17,68,159,18.2,20.9,Walker 17' Pullup Jump Shot (2 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,13,7,00:09:20,00:02:40,00:00:13,35,ATL,shot,,,,,,,,,,Trae Young,3,,,made,,Step Back Jump Shot,26,138,217,38.8,67.3,Young 26' 3PT Step Back Jump Shot (3 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,16,7,00:09:02,00:02:58,00:00:18,36,CHA,shot,Jeremy Lamb,,,,,,,,,Kemba Walker,3,,,made,,Jump Shot,26,34,255,21.6,30.5,Walker 26' 3PT Jump Shot (5 PTS) (Lamb 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,16,7,00:09:00,00:03:00,00:00:02,38,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,HAWKS Timeout: Regular (Full 1 Short 0)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,16,7,00:08:46,00:03:14,00:00:14,39,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,22,-225,0,2.5,89.0,MISS Prince  3PT Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,16,7,00:08:44,00:03:16,00:00:02,40,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:2)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,16,7,00:08:39,00:03:21,00:00:05,41,ATL,foul,,,,,,,,Kemba Walker,,Kevin Huerter,,,s.foul,,,s.foul,,,,,,Huerter S.FOUL (P1.T1) (S.Wall)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,17,7,00:08:39,00:03:21,00:00:00,43,CHA,free throw,,,,,,,1,,2,Kemba Walker,1,,,made,,Free Throw 1 of 2,,,,,,Walker Free Throw 1 of 2 (6 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,18,7,00:08:39,00:03:21,00:00:00,44,CHA,free throw,,,,,,,2,,2,Kemba Walker,1,,,made,,Free Throw 2 of 2,,,,,,Walker Free Throw 2 of 2 (7 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,18,10,00:08:24,00:03:36,00:00:15,45,ATL,shot,Trae Young,,,,,,,,,Dewayne Dedmon,3,,,made,,Jump Shot,24,226,68,47.6,82.2,Dedmon 24' 3PT Jump Shot (3 PTS) (Young 2 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,20,10,00:08:03,00:03:57,00:00:21,47,CHA,shot,,,,,,,,,,Jeremy Lamb,2,,,made,,Pullup Jump Shot,16,-85,135,33.5,18.5,Lamb 16' Pullup Jump Shot (5 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,20,13,00:07:47,00:04:13,00:00:16,48,ATL,shot,Taurean Prince,,,,,,,,,Dewayne Dedmon,3,,,made,,Jump Shot,23,232,32,48.2,85.8,Dedmon  3PT Jump Shot (6 PTS) (Prince 1 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,13,00:07:32,00:04:28,00:00:15,50,CHA,shot,Nicolas Batum,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,24,236,30,1.4,8.0,Williams 24' 3PT Jump Shot (6 PTS) (Batum 2 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,15,00:07:25,00:04:35,00:00:07,52,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,unknown,1,2,10,25.2,88.0,Collins 1' Cutting Dunk Shot (6 PTS) (Young 3 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,15,00:07:10,00:04:50,00:00:15,54,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Pullup Jump Shot,15,92,121,15.8,17.1,MISS Batum 15' Pullup Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,15,00:07:07,00:04:53,00:00:03,55,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound offensive,,,,,,Zeller REBOUND (Off:1 Def:2)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,15,00:07:04,00:04:56,00:00:03,56,CHA,turnover,,,,,,,,,,Cody Zeller,,,bad pass ,,John Collins,bad pass ,,,,,,"Zeller Bad Pass Turnover (P1.T1), Collins STEAL (1 STL)"
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,17,00:07:02,00:04:58,00:00:02,58,ATL,shot,,,,,,,,,,Kevin Huerter,2,,,made,,Running Dunk,1,2,11,25.2,87.9,Huerter 1' Running Dunk (2 PTS)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,17,00:06:47,00:05:13,00:00:15,59,CHA,miss,,,,,,,,,,Cody Zeller,0,,,missed,,Jump Shot,25,88,232,16.2,28.2,MISS Zeller 25' 3PT Jump Shot
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,17,00:06:44,00:05:16,00:00:03,60,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,19,00:06:38,00:05:22,00:00:06,61,ATL,shot,Trae Young,,,,,,,,,Kevin Huerter,2,,,made,,unknown,2,3,17,25.3,87.3,Huerter 2' Cutting Dunk Shot (4 PTS) (Young 4 AST)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,19,00:06:38,00:05:22,00:00:00,63,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Hornets Timeout: Regular (Reg.1 Short 0)
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Miles Bridges,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,19,00:06:38,00:05:22,00:00:00,64,CHA,sub,,,,,Miles Bridges,Nicolas Batum,,,,Nicolas Batum,,,,,,sub,,,,,,SUB: Bridges FOR Batum
"=""0021800827""",2018-2019 Regular Season,2019-02-09,Marvin Williams,Jeremy Lamb,Kemba Walker,Miles Bridges,Michael Kidd-Gilchrist,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,23,19,00:06:38,00:05:22,00:00:00,65,CHA,sub,,,,,Michael Kidd-Gilchrist,Cody Zeller,,,,Cody Zeller,,,,,,sub,,,,,,SUB: Kidd-Gilchrist FOR Zeller
