game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Ivica Zubac,Al Horford,,,,,,,Al Horford,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Horford vs. Zubac: Tip to Irving
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:42,00:00:18,00:00:18,7,BOS,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Turnaround Fadeaway ,13,-96,92,15.4,79.8,MISS Morris 13' Turnaround Fadeaway Shot
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:40,00:00:20,00:00:02,8,LAC,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound defensive,,,,,,Zubac REBOUND (Off:0 Def:1)
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:30,00:00:30,00:00:10,9,LAC,turnover,,,,,,,,,,Shai Gilgeous-Alexander,,,bad pass ,,Marcus Smart,bad pass ,,,,,,"Gilgeous-Alexander Bad Pass Turnover (P1.T1), Smart STEAL (1 STL)"
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,3,00:11:23,00:00:37,00:00:07,12,BOS,shot,Al Horford,,,,,,,,,Kyrie Irving,3,,,made,,Jump Shot,26,-218,138,3.2,75.2,Irving 26' 3PT Jump Shot (3 PTS) (Horford 1 AST)
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,3,00:11:07,00:00:53,00:00:16,14,LAC,turnover,,,,,,,,,,Danilo Gallinari,,,,,,unknown,,,,,,Gallinari Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,5,00:11:00,00:01:00,00:00:07,15,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,2,,,made,,Jump Shot,19,-101,159,14.9,73.1,Horford 19' Jump Shot (2 PTS) (Irving 1 AST)
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,5,00:10:43,00:01:17,00:00:17,17,LAC,turnover,,,,,,,,,,Patrick Beverley,,,traveling ,,,traveling ,,,,,,Beverley Traveling Turnover (P1.T3)
"=""0021800829""",2018-2019 Regular Season,2019-02-09,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,5,00:10:35,00:01:25,00:00:08,18,LAC,foul,,,,,,,,Jayson Tatum,,Danilo Gallinari,,,p.foul,,,p.foul,,,,,,Gallinari P.FOUL (P1.T1) (K.Fitzgerald)
