game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Thomas Bryant,Robin Lopez,,,,,,,Robin Lopez,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Lopez vs. Bryant: Tip to Dunn
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:47,00:00:13,00:00:13,7,CHI,shot,Kris Dunn,,,,,,,,,Otto Porter Jr.,2,,,made,,Pullup Jump Shot,19,-169,78,8.1,81.2,Porter Jr. 19' Pullup Jump Shot (2 PTS) (Dunn 1 AST)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,2,00:11:27,00:00:33,00:00:20,9,WAS,shot,Tomas Satoransky,,,,,,,,,Thomas Bryant,2,,,made,,Jump Shot,18,-3,176,25.3,22.6,Bryant 18' Jump Shot (2 PTS) (Satoransky 1 AST)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,00:11:11,00:00:49,00:00:16,11,CHI,shot,Kris Dunn,,,,,,,,,Robin Lopez,2,,,made,,unknown,2,18,11,26.8,87.9,Lopez 2' Cutting Layup Shot (2 PTS) (Dunn 2 AST)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,00:11:02,00:00:58,00:00:09,13,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,Jump Shot,21,10,214,24.0,26.4,MISS Satoransky 21' Jump Shot
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,4,00:10:59,00:01:01,00:00:03,14,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,6,00:10:46,00:01:14,00:00:13,15,CHI,shot,,,,,,,,,,Otto Porter Jr.,2,,,made,,unknown,2,22,4,27.2,88.6,Porter Jr. 2' Driving Layup (4 PTS)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,6,00:10:37,00:01:23,00:00:09,16,WAS,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,26,85,244,16.5,29.4,MISS Ariza 26' 3PT Jump Shot
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,6,00:10:33,00:01:27,00:00:04,17,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:2)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,6,00:10:31,00:01:29,00:00:02,18,WAS,foul,,,,,,,,Kris Dunn,,Tomas Satoransky,,,p.foul,,,p.foul,,,,,,Satoransky P.FOUL (P1.T1) (L.Richardson)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,8,00:10:23,00:01:37,00:00:08,20,CHI,shot,Otto Porter Jr.,,,,,,,,,Robin Lopez,2,,,made,,Turnaround Hook Shot,2,-5,24,24.5,86.6,Lopez 2' Turnaround Hook Shot (4 PTS) (Porter Jr. 1 AST)
"=""0021800830""",2018-2019 Regular Season,2019-02-09,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,8,00:10:10,00:01:50,00:00:13,22,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,unknown,2,-17,6,26.7,5.6,MISS Satoransky 2' Driving Layup
