game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Nikola Vucevic,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Trae Young,,,,jump ball,,,,,,Jump Ball Dedmon vs. Vucevic: Tip to Young
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:48,00:00:12,00:00:12,7,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Jump Shot,25,149,206,39.9,68.4,MISS Dedmon 25' 3PT Jump Shot
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:45,00:00:15,00:00:03,8,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:31,00:00:29,00:00:14,9,ATL,foul,,,,,,,,Aaron Gordon,,Taurean Prince,,,s.foul,,,s.foul,,,,,,Prince S.FOUL (P1.T1) (S.Wright)
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:31,00:00:29,00:00:00,11,ORL,free throw,,,,,,,1,,2,Aaron Gordon,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Gordon Free Throw 1 of 2
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:31,00:00:29,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,0,00:11:31,00:00:29,00:00:00,13,ORL,free throw,,,,,,,2,,2,Aaron Gordon,1,,,made,,Free Throw 2 of 2,,,,,,Gordon Free Throw 2 of 2 (1 PTS)
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,2,00:11:10,00:00:50,00:00:21,14,ATL,shot,Trae Young,,,,,,,,,Taurean Prince,2,,,made,,Step Back Jump Shot,16,-5,158,24.5,73.2,Prince 16' Step Back Jump Shot (2 PTS) (Young 1 AST)
"=""0021800837""",2018-2019 Regular Season,2019-02-10,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,2,00:10:57,00:01:03,00:00:13,16,ORL,turnover,,,,,,,,,,Nikola Vucevic,,,,,,unknown,,,,,,Vucevic Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
