game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Thomas Bryant,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Bryant: Tip to Griffin
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:11:43,00:00:17,00:00:17,7,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,Trevor Ariza,bad pass ,,,,,,"Ariza STEAL (1 STL), Jackson Bad Pass Turnover (P1.T1)"
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:11:38,00:00:22,00:00:05,9,WAS,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,25,-212,137,46.2,18.7,MISS Ariza 25' 3PT Jump Shot
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:11:34,00:00:26,00:00:04,10,DET,rebound,,,,,,,,,,Langston Galloway,,,,,,rebound defensive,,,,,,Galloway REBOUND (Off:0 Def:1)
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:11:29,00:00:31,00:00:05,11,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,unknown,5,-41,33,20.9,85.7,MISS Jackson 5' Driving Floating Jump Shot
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,0,0,00:11:29,00:00:31,00:00:00,12,WAS,rebound,,,,,,,,,,Thomas Bryant,,,,,,rebound defensive,,,,,,Bryant REBOUND (Off:0 Def:1)
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,3,0,00:11:22,00:00:38,00:00:07,13,WAS,shot,Bradley Beal,,,,,,,,,Jeff Green,3,,,made,,Jump Shot,25,225,117,2.5,16.7,Green 25' 3PT Jump Shot (3 PTS) (Beal 1 AST)
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,3,2,00:10:56,00:01:04,00:00:26,15,DET,shot,Blake Griffin,,,,,,,,,Bruce Brown,2,,,made,,unknown,1,8,6,25.8,88.4,Brown 1' Driving Layup (2 PTS) (Griffin 1 AST)
"=""0021800840""",2018-2019 Regular Season,2019-02-11,Jeff Green,Trevor Ariza,Thomas Bryant,Bradley Beal,Chasson Randle,Bruce Brown,Blake Griffin,Andre Drummond,Langston Galloway,Reggie Jackson,1,3,2,00:10:34,00:01:26,00:00:22,17,WAS,miss,,,,,,,,,,Thomas Bryant,0,,,missed,,Jump Shot,22,-221,9,47.1,5.9,MISS Bryant  3PT Jump Shot
