game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Cody Zeller,Myles Turner,,,,,,,Myles Turner,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Turner vs. Zeller: Tip to Young
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:35,00:00:25,00:00:25,7,IND,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,unknown,11,32,109,28.2,78.1,MISS Matthews 11' Driving Floating Jump Shot
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:29,00:00:31,00:00:06,8,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:12,00:00:48,00:00:17,9,CHA,shot,Nicolas Batum,,,,,,,,,Cody Zeller,2,,,made,,Pullup Jump Shot,3,5,30,24.5,8.0,Zeller 3' Pullup Jump Shot (2 PTS) (Batum 1 AST)
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,2,00:10:56,00:01:04,00:00:16,11,IND,shot,Darren Collison,,,,,,,,,Thaddeus Young,2,,,made,,Hook Shot,5,10,50,26.0,84.0,Young 5' Hook Shot (2 PTS) (Collison 1 AST)
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,2,00:10:40,00:01:20,00:00:16,13,IND,violation,,,,,,,,,,Myles Turner,,,,,,violation:kicked ball,,,,,,Turner Violation:Kicked Ball (B.Adair)
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,2,00:10:34,00:01:26,00:00:06,14,CHA,shot,Nicolas Batum,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,27,-203,178,45.3,22.8,Williams 27' 3PT Jump Shot (3 PTS) (Batum 2 AST)
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,2,00:10:18,00:01:42,00:00:16,16,IND,miss,,,,Cody Zeller,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,3,-7,25,24.3,86.5,"Zeller BLOCK (1 BLK), MISS Bogdanovic 3' Driving Layup"
"=""0021800841""",2018-2019 Regular Season,2019-02-11,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,2,00:10:18,00:01:42,00:00:00,18,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PACERS Rebound
