game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Brandon Ingram,,,,jump ball,,,,,,Jump Ball Dedmon vs. McGee: Tip to Ingram
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:48,00:00:12,00:00:12,7,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,unknown,1,0,11,25.0,6.1,MISS Kuzma 1' Cutting Layup Shot
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:45,00:00:15,00:00:03,8,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:36,00:00:24,00:00:09,9,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,12,85,81,33.5,80.9,MISS Young 12' Driving Floating Jump Shot
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:31,00:00:29,00:00:05,10,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,0,00:11:26,00:00:34,00:00:05,11,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Running Layup,0,3,1,24.7,5.1,Ingram  Running Layup (2 PTS)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,0,00:11:14,00:00:46,00:00:12,12,LAL,foul,,,,,,,,John Collins,,JaVale McGee,,,p.foul,,,p.foul,,,,,,McGee P.FOUL (P1.T1) (B.Forte)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,3,00:11:11,00:00:49,00:00:03,14,ATL,shot,Trae Young,,,,,,,,,John Collins,3,,,made,,Jump Shot,25,203,147,45.3,74.3,Collins 25' 3PT Jump Shot (3 PTS) (Young 1 AST)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,5,3,00:10:53,00:01:07,00:00:18,16,LAL,shot,,,,,,,,,,Reggie Bullock,3,,,made,,Pullup Jump Shot,25,-214,122,46.4,17.2,Bullock 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,5,5,00:10:40,00:01:20,00:00:13,18,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,Jump Shot,10,-43,94,20.7,79.6,Collins 10' Jump Shot (5 PTS) (Young 2 AST)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,5,00:10:25,00:01:35,00:00:15,20,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,unknown,3,-4,26,25.4,7.6,Ingram 3' Driving Layup (4 PTS)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,5,00:10:01,00:01:59,00:00:24,21,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,10,-96,28,15.4,86.2,MISS Collins 10' Jump Shot
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,5,00:10:01,00:01:59,00:00:00,22,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,5,00:10:01,00:01:59,00:00:00,23,LAL,foul,,,,,,,,Dewayne Dedmon,,Brandon Ingram,,,l.b.foul,,,l.b.foul,,,,,,Ingram L.B.FOUL (P1.T2) (N.Sago)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,8,00:09:57,00:02:03,00:00:04,25,ATL,shot,Dewayne Dedmon,,,,,,,,,John Collins,3,,,made,,Jump Shot,25,-223,121,2.7,76.9,Collins 25' 3PT Jump Shot (8 PTS) (Dedmon 1 AST)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,8,00:09:36,00:02:24,00:00:21,27,LAL,turnover,,,,,,,,,,Brandon Ingram,,,traveling ,,,traveling ,,,,,,Ingram Traveling Turnover (P1.T1)
"=""0021800848""",2018-2019 Regular Season,2019-02-12,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Reggie Bullock,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,7,8,00:09:29,00:02:31,00:00:07,28,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,14,-2,143,24.8,74.7,MISS Young 14' Driving Floating Jump Shot
