game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Nikola Vucevic,Anthony Davis,,,,,,,Anthony Davis,,Jrue Holiday,,,,jump ball,,,,,,Jump Ball Davis vs. Vucevic: Tip to Holiday
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,0,2,00:11:42,00:00:18,00:00:18,7,NOP,shot,,,,,,,,,,Jahlil Okafor,2,,,made,,Finger Roll Layup,3,9,25,25.9,86.5,Okafor 3' Finger Roll Layup (2 PTS)
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,2,00:11:28,00:00:32,00:00:14,9,ORL,shot,Aaron Gordon,,,,,,,,,Nikola Vucevic,2,,,made,,unknown,2,-19,-1,26.9,4.9,Vucevic 2' Cutting Layup Shot (2 PTS) (Gordon 1 AST)
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:11:18,00:00:42,00:00:10,11,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,unknown,3,-2,25,24.8,86.5,Holiday 3' Driving Layup (2 PTS)
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:11:03,00:00:57,00:00:15,12,ORL,miss,,,,,,,,,,Jonathan Isaac,0,,,missed,,Jump Shot,25,119,221,13.1,27.1,MISS Isaac 25' 3PT Jump Shot
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:11:00,00:01:00,00:00:03,13,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:0 Def:1)
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:10:50,00:01:10,00:00:10,14,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Fadeaway Jumper,10,15,97,26.5,79.3,MISS Davis 10' Fadeaway Jumper
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:10:48,00:01:12,00:00:02,15,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800851""",2018-2019 Regular Season,2019-02-12,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Kenrich Williams,Anthony Davis,Jahlil Okafor,E'Twaun Moore,Jrue Holiday,1,2,4,00:10:40,00:01:20,00:00:08,16,ORL,miss,,,,,,,,,,Jonathan Isaac,0,,,missed,,Jump Shot,25,133,216,11.7,26.6,MISS Isaac 25' 3PT Jump Shot
