game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,0:12:00,0:00:00,0:00:00,4,MIL,jump ball,,Brook Lopez,Myles Turner,,,,,,,Myles Turner,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Turner vs. Lopez: Tip to Antetokounmpo
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,0:11:40,0:00:20,0:00:20,7,MIL,turnover,,,,,,,,,,Eric Bledsoe,,,bad pass ,,Bojan Bogdanovic,bad pass ,,,,,,"Bledsoe Bad Pass Turnover (P1.T1), Bogdanovic STEAL (1 STL)"
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,3,0:11:25,0:00:35,0:00:15,9,IND,shot,Darren Collison,,,,,,,,,Myles Turner,3,,,made,,Jump Shot,27,-136,229,11.4,66.1,Turner 27' 3PT Jump Shot (3 PTS) (Collison 1 AST)
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,3,0:10:57,0:01:03,0:00:28,13,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Finger Roll Layup,1,4,10,24.6,6,MISS Antetokounmpo 1' Finger Roll Layup
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,3,0:10:55,0:01:05,0:00:02,14,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,3,0:10:54,0:01:06,0:00:01,15,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Putback Layup,1,2,5,24.8,5.5,Antetokounmpo 1' Putback Layup (2 PTS)
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,3,0:10:26,0:01:34,0:00:28,16,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Pullup Jump Shot,18,-138,115,11.2,77.5,MISS Young 18' Pullup Jump Shot
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,3,0:10:23,0:01:37,0:00:03,17,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
0021800854,2018-2019 Regular Season,2/13/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,3,0:10:11,0:01:49,0:00:12,18,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Turnaround Jump Shot,4,-13,38,26.3,8.8,MISS Bledsoe 4' Turnaround Jump Shot
