game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Andre Drummond,Al Horford,,,,,,,Al Horford,,Gordon Hayward,,,,jump ball,,,,,,Jump Ball Horford vs. Drummond: Tip to Hayward
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:47,00:00:13,00:00:13,7,BOS,miss,,,,,,,,,,Marcus Morris,0,,,missed,,unknown,13,-117,67,13.3,82.3,MISS Morris 13' Driving Floating Jump Shot
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:43,00:00:17,00:00:04,8,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound offensive,,,,,,Horford REBOUND (Off:1 Def:0)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:42,00:00:18,00:00:01,9,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Jump Shot,24,177,169,42.7,72.1,MISS Smart 24' 3PT Jump Shot
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:40,00:00:20,00:00:02,10,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:21,00:00:39,00:00:19,11,DET,miss,,,,,,,,,,Luke Kennard,0,,,missed,,Jump Shot,22,-222,4,47.2,5.4,MISS Kennard  3PT Jump Shot
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:20,00:00:40,00:00:01,12,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:1 Def:1)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:09,00:00:51,00:00:11,13,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Step Back Jump Shot,26,-1,257,24.9,63.3,MISS Smart 26' 3PT Step Back Jump Shot
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:11:07,00:00:53,00:00:02,14,DET,rebound,,,,,,,,,,Luke Kennard,,,,,,rebound defensive,,,,,,Kennard REBOUND (Off:0 Def:1)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:10:52,00:01:08,00:00:15,15,DET,miss,,,,,,,,,,Bruce Brown,0,,,missed,,Jump Shot,26,79,243,17.1,29.3,MISS Brown 26' 3PT Jump Shot
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,0,00:10:51,00:01:09,00:00:01,16,BOS,rebound,,,,,,,,,,Gordon Hayward,,,,,,rebound defensive,,,,,,Hayward REBOUND (Off:0 Def:1)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,2,00:10:41,00:01:19,00:00:10,17,BOS,shot,Al Horford,,,,,,,,,Gordon Hayward,2,,,made,,Driving Reverse Layup,1,-12,1,23.8,88.9,Hayward 1' Driving Reverse Layup (2 PTS) (Horford 1 AST)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,2,00:10:27,00:01:33,00:00:14,19,DET,turnover,,,,,,,,,,Andre Drummond,,,lost ball ,,Jayson Tatum,lost ball ,,,,,,"Drummond Lost Ball Turnover (P1.T1), Tatum STEAL (1 STL)"
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,4,00:10:24,00:01:36,00:00:03,21,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,Running Dunk,1,-7,6,24.3,88.4,Tatum 1' Running Dunk (2 PTS)
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,4,00:10:04,00:01:56,00:00:20,22,DET,turnover,,,,,,,,,,Bruce Brown,,,bad pass ,,Al Horford,bad pass ,,,,,,"Brown Bad Pass Turnover (P1.T2), Horford STEAL (1 STL)"
"=""0021800855""",2018-2019 Regular Season,2019-02-13,Bruce Brown,Blake Griffin,Andre Drummond,Luke Kennard,Reggie Jackson,Gordon Hayward,Marcus Morris,Al Horford,Jayson Tatum,Marcus Smart,1,0,6,00:09:59,00:02:01,00:00:05,24,BOS,shot,Marcus Morris,,,,,,,,,Gordon Hayward,2,,,made,,Running Layup,1,-6,0,24.4,89.0,Hayward 1' Running Layup (4 PTS) (Morris 1 AST)
