game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Jaren Jackson Jr.,Robin Lopez,,,,,,,Robin Lopez,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Lopez vs. Jackson Jr.: Tip to Arcidiacono
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,2,00:11:45,00:00:15,00:00:15,7,CHI,shot,Zach LaVine,,,,,,,,,Robin Lopez,2,,,made,,unknown,1,3,6,25.3,88.4,Lopez 1' Cutting Layup Shot (2 PTS) (LaVine 1 AST)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,2,00:11:29,00:00:31,00:00:16,9,MEM,turnover,,,,,,,,,,Avery Bradley,,,traveling ,,,traveling ,,,,,,Bradley Traveling Turnover (P1.T1)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,2,00:11:08,00:00:52,00:00:21,10,CHI,turnover,,,,,,,,,,Lauri Markkanen,,,3 second violation,,,3 second violation,,,,,,Markkanen 3 Second Violation Turnover (P1.T1)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:10:49,00:01:11,00:00:19,11,MEM,shot,Avery Bradley,,,,,,,,,Jaren Jackson Jr.,2,,,made,,Reverse Layup,2,2,16,24.8,6.6,Jackson Jr. 2' Reverse Layup (2 PTS) (Bradley 1 AST)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,4,00:10:29,00:01:31,00:00:20,13,CHI,shot,,,,,,,,,,Robin Lopez,2,,,made,,Layup,1,11,8,26.1,88.2,Lopez 1' Layup (4 PTS)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,4,00:10:17,00:01:43,00:00:12,14,MEM,miss,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,Layup,1,2,5,24.8,5.5,MISS Jackson Jr. 1' Layup
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,4,00:10:10,00:01:50,00:00:07,15,MEM,rebound,,,,,,,,,,Ivan Rabb,,,,,,rebound offensive,,,,,,Rabb REBOUND (Off:1 Def:0)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,4,4,00:10:10,00:01:50,00:00:00,16,MEM,shot,,,,,,,,,,Ivan Rabb,2,,,made,,unknown,1,0,-6,25.0,4.4,Rabb 1' Tip Layup Shot (2 PTS)
"=""0021800858""",2018-2019 Regular Season,2019-02-13,Justin Holiday,Jaren Jackson Jr.,Ivan Rabb,Avery Bradley,Mike Conley,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,4,4,00:10:01,00:01:59,00:00:09,17,CHI,turnover,,,,,,,,,,Zach LaVine,,,bad pass ,,Ivan Rabb,bad pass ,,,,,,"Rabb STEAL (1 STL), LaVine Bad Pass Turnover (P1.T2)"
