game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,DeAndre Jordan,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Trae Young,,,,jump ball,,,,,,Jump Ball Dedmon vs. Jordan: Tip to Young
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:45,00:00:15,00:00:15,7,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,24,228,63,47.8,82.7,MISS Prince 24' 3PT Jump Shot
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:39,00:00:21,00:00:06,8,NYK,rebound,,,,,,,,,,Damyean Dotson,,,,,,rebound defensive,,,,,,Dotson REBOUND (Off:0 Def:1)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:36,00:00:24,00:00:03,9,NYK,turnover,,,,,,,,,,Damyean Dotson,,,bad pass ,,Dewayne Dedmon,bad pass ,,,,,,"Dotson Bad Pass Turnover (P1.T1), Dedmon STEAL (1 STL)"
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:32,00:00:28,00:00:04,11,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Jump Shot,25,-169,190,8.1,70.0,MISS Huerter 25' 3PT Jump Shot
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:29,00:00:31,00:00:03,12,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:26,00:00:34,00:00:03,13,ATL,foul,,,,,,,,Dennis Smith Jr.,,Dewayne Dedmon,,,s.foul,,,s.foul,,,,,,Dedmon S.FOUL (P1.T1) (S.Foster)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:26,00:00:34,00:00:00,15,NYK,free throw,,,,,,,1,,2,Dennis Smith Jr.,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Smith Jr. Free Throw 1 of 2
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:26,00:00:34,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Knicks Rebound
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,0,00:11:26,00:00:34,00:00:00,17,NYK,free throw,,,,,,,2,,2,Dennis Smith Jr.,1,,,made,,Free Throw 2 of 2,,,,,,Smith Jr. Free Throw 2 of 2 (1 PTS)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,0,00:11:06,00:00:54,00:00:20,18,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,23,-224,39,2.6,85.1,MISS Collins  3PT Jump Shot
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,1,0,00:11:03,00:00:57,00:00:03,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Knicks Rebound
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,0,00:10:49,00:01:11,00:00:14,21,NYK,shot,Damyean Dotson,,,,,,,,,Dennis Smith Jr.,3,,,made,,Jump Shot,25,56,247,19.4,29.7,Smith Jr. 25' 3PT Jump Shot (4 PTS) (Dotson 1 AST)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,0,00:10:37,00:01:23,00:00:12,23,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,14,53,128,30.3,76.2,MISS Young 14' Driving Floating Jump Shot
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,0,00:10:32,00:01:28,00:00:05,24,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:2)
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,0,00:10:15,00:01:45,00:00:17,25,NYK,miss,,,,,,,,,,Damyean Dotson,0,,,missed,,Jump Shot,25,-152,198,40.2,24.8,MISS Dotson 25' 3PT Jump Shot
"=""0021800865""",2018-2019 Regular Season,2019-02-14,Kevin Knox,Luke Kornet,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,0,00:10:13,00:01:47,00:00:02,26,ATL,rebound,,,,,,,,,,Kevin Huerter,,,,,,rebound defensive,,,,,,Huerter REBOUND (Off:0 Def:1)
