game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Anthony Davis,,,,,,,Anthony Davis,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Davis vs. Adams: Tip to Westbrook
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,0,0,00:11:45,00:00:15,00:00:15,7,OKC,miss,,,,,,,,,,Patrick Patterson,0,,,missed,,Jump Shot,22,224,9,2.6,5.9,MISS Patterson  3PT Jump Shot
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,0,0,00:11:40,00:00:20,00:00:05,8,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:40,00:00:20,00:00:00,9,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,unknown,1,0,-6,25.0,4.4,Adams 1' Tip Layup Shot (2 PTS)
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:25,00:00:35,00:00:15,10,NOP,turnover,,,,,,,,,,Jrue Holiday,,,bad pass ,,Steven Adams,bad pass ,,,,,,"Adams STEAL (1 STL), Holiday Bad Pass Turnover (P1.T1)"
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:16,00:00:44,00:00:09,12,OKC,miss,,,,Anthony Davis,,,,,,Steven Adams,0,,,missed,,Layup,4,-41,9,29.1,5.9,"MISS Adams 4' Layup, Davis BLOCK (1 BLK)"
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:12,00:00:48,00:00:04,14,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:04,00:00:56,00:00:08,15,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Hook Shot,8,3,83,25.3,80.7,MISS Davis 8' Hook Shot
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:11:00,00:01:00,00:00:04,16,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0021800866""",2018-2019 Regular Season,2019-02-14,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Russell Westbrook,Kenrich Williams,Anthony Davis,Julius Randle,Darius Miller,Jrue Holiday,1,2,0,00:10:53,00:01:07,00:00:07,17,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,25,171,189,7.9,23.9,MISS George 25' 3PT Jump Shot
