game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Anthony Davis,Kyle O'Quinn,,,,,,,Kyle O'Quinn,,Darren Collison,,,,jump ball,,,,,,Jump Ball O'Quinn vs. Davis: Tip to Collison
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:11:46,00:00:14,00:00:14,7,IND,turnover,,,,,,,,,,Kyle O'Quinn,,,,,,unknown,,,,,,O'Quinn Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:11:32,00:00:28,00:00:14,8,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,unknown,3,1,31,24.9,8.1,MISS Holiday 3' Driving Floating Jump Shot
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:11:29,00:00:31,00:00:03,9,IND,rebound,,,,,,,,,,Kyle O'Quinn,,,,,,rebound defensive,,,,,,O'Quinn REBOUND (Off:0 Def:1)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,0,0,00:11:21,00:00:39,00:00:08,10,IND,turnover,,,,,,,,,,Thaddeus Young,,,bad pass ,,Anthony Davis,bad pass ,,,,,,"Davis STEAL (1 STL), Young Bad Pass Turnover (P1.T2)"
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:17,00:00:43,00:00:04,12,NOP,shot,Anthony Davis,,,,,,,,,Julius Randle,2,,,made,,unknown,1,5,13,24.5,6.3,Randle 1' Cutting Layup Shot (2 PTS) (Davis 1 AST)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:17,00:00:43,00:00:00,14,IND,foul,,,,,,,,Julius Randle,,Darren Collison,,,s.foul,,,s.foul,,,,,,Collison S.FOUL (P1.T1) (T.Brothers)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:17,00:00:43,00:00:00,16,NOP,free throw,,,,,,,1,,1,Julius Randle,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Randle Free Throw 1 of 1
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:16,00:00:44,00:00:01,17,IND,rebound,,,,,,,,,,Kyle O'Quinn,,,,,,rebound defensive,,,,,,O'Quinn REBOUND (Off:0 Def:2)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:04,00:00:56,00:00:12,40,IND,miss,,,,Jrue Holiday,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,4,9,34,25.9,85.6,"Holiday BLOCK (1 BLK), MISS Bogdanovic 4' Driving Layup"
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,2,0,00:11:03,00:00:57,00:00:01,42,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,4,0,00:10:59,00:01:01,00:00:04,21,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Running Layup,1,-3,8,25.3,5.8,Holiday 1' Running Layup (2 PTS)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,4,0,00:10:59,00:01:01,00:00:00,22,IND,foul,,,,,,,,Jrue Holiday,,Wesley Matthews,,,s.foul,,,s.foul,,,,,,Matthews S.FOUL (P1.T2) (H.Workman)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,5,0,00:10:59,00:01:01,00:00:00,24,NOP,free throw,,,,,,,1,,1,Jrue Holiday,1,,,made,,Free Throw 1 of 1,,,,,,Holiday Free Throw 1 of 1 (3 PTS)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,5,0,00:10:44,00:01:16,00:00:15,25,IND,turnover,,,,,,,,,,Thaddeus Young,,,lost ball ,,Julius Randle,lost ball ,,,,,,"Randle STEAL (1 STL), Young Lost Ball Turnover (P2.T3)"
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,5,0,00:10:36,00:01:24,00:00:08,27,NOP,turnover,,,,,,,,,,Anthony Davis,,,lost ball ,,Thaddeus Young,lost ball ,,,,,,"Davis Lost Ball Turnover (P1.T1), Young STEAL (1 STL)"
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,5,2,00:10:32,00:01:28,00:00:04,29,IND,shot,Darren Collison,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,1,-2,10,24.8,88.0,Bogdanovic 1' Cutting Dunk Shot (2 PTS) (Collison 1 AST)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,2,00:10:22,00:01:38,00:00:10,31,NOP,shot,Elfrid Payton,,,,,,,,,Julius Randle,3,,,made,,Jump Shot,29,120,263,13.0,31.3,Randle 29' 3PT Jump Shot (5 PTS) (Payton 1 AST)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,2,00:10:06,00:01:54,00:00:16,33,IND,miss,,,,Elfrid Payton,,,,,,Bojan Bogdanovic,0,,,missed,,Jump Shot,6,-54,16,19.6,87.4,"Payton BLOCK (1 BLK), MISS Bogdanovic 6' Jump Shot"
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,2,00:10:04,00:01:56,00:00:02,35,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:2)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,2,00:09:57,00:02:03,00:00:07,37,NOP,turnover,,,,,,,,,,Julius Randle,,,double dribble turnover,,,double dribble turnover,,,,,,Randle Double Dribble Turnover (P1.T2)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,4,00:09:47,00:02:13,00:00:10,38,IND,shot,Kyle O'Quinn,,,,,,,,,Wesley Matthews,2,,,made,,Jump Shot,20,73,191,32.3,69.9,Matthews 20' Jump Shot (2 PTS) (O'Quinn 1 AST)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,4,00:09:33,00:02:27,00:00:14,43,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Jump Shot,26,-207,159,45.7,20.9,MISS Randle 26' 3PT Jump Shot
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,8,4,00:09:33,00:02:27,00:00:00,44,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:09:24,00:02:36,00:00:09,45,NOP,shot,Julius Randle,,,,,,,,,Elfrid Payton,2,,,made,,Driving Reverse Layup,1,6,6,24.4,5.6,Payton 1' Driving Reverse Layup (2 PTS) (Randle 1 AST)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:09:24,00:02:36,00:00:00,47,IND,foul,,,,,,,,Elfrid Payton,,Bojan Bogdanovic,,,s.foul,,,s.foul,,,,,,Bogdanovic S.FOUL (P1.T3) (H.Workman)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:09:24,00:02:36,00:00:00,49,NOP,free throw,,,,,,,1,,1,Elfrid Payton,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Payton Free Throw 1 of 1
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:09:23,00:02:37,00:00:01,50,IND,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:09:03,00:02:57,00:00:20,51,IND,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,Jump Shot,30,-147,265,10.3,62.5,MISS Matthews 30' 3PT Jump Shot
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,10,4,00:08:59,00:03:01,00:00:04,52,NOP,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
"=""0021800874""",2018-2019 Regular Season,2019-02-22,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,1,12,4,00:08:53,00:03:07,00:00:06,53,NOP,shot,Julius Randle,,,,,,,,,Anthony Davis,2,,,made,,unknown,0,-2,-4,25.2,4.6,Davis  Cutting Dunk Shot (2 PTS) (Randle 2 AST)
