game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Ivica Zubac,Ivan Rabb,,,,,,,Ivan Rabb,,Shai Gilgeous-Alexander,,,,jump ball,,,,,,Jump Ball Rabb vs. Zubac: Tip to Gilgeous-Alexander
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:49,00:00:11,00:00:11,7,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Jump Shot,26,156,205,9.4,25.5,MISS Gallinari 26' 3PT Jump Shot
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:45,00:00:15,00:00:04,8,MEM,rebound,,,,,,,,,,Ivan Rabb,,,,,,rebound defensive,,,,,,Rabb REBOUND (Off:0 Def:1)
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:34,00:00:26,00:00:11,9,MEM,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Pullup Jump Shot,18,111,141,36.1,74.9,MISS Bradley 18' Pullup Jump Shot
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:33,00:00:27,00:00:01,10,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:22,00:00:38,00:00:11,11,LAC,miss,,,,,,,,,,Ivica Zubac,0,,,missed,,Hook Shot,7,-62,23,31.2,7.3,MISS Zubac 7' Hook Shot
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:20,00:00:40,00:00:02,12,MEM,rebound,,,,,,,,,,Ivan Rabb,,,,,,rebound defensive,,,,,,Rabb REBOUND (Off:0 Def:2)
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:13,00:00:47,00:00:07,13,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,25,226,103,47.6,78.7,MISS Conley 25' 3PT Jump Shot
"=""0021800879""",2018-2019 Regular Season,2019-02-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Shai Gilgeous-Alexander,Patrick Beverley,Justin Holiday,Bruno Caboclo,Ivan Rabb,Avery Bradley,Mike Conley,1,0,0,00:11:10,00:00:50,00:00:03,14,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:2)
