game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Nikola Jokic,Salah Mejri,,,,,,,Salah Mejri,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Mejri vs. Jokic: Tip to Murray
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,0,0,00:11:48,00:00:12,00:00:12,7,DEN,miss,,,,Salah Mejri,,,,,,Jamal Murray,0,,,missed,,Driving Finger Roll Layup,2,-22,-1,27.2,4.9,"MISS Murray 2' Driving Finger Roll Layup, Mejri BLOCK (1 BLK)"
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,0,0,00:11:45,00:00:15,00:00:03,9,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound defensive,,,,,,Finney-Smith REBOUND (Off:0 Def:1)
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,0,3,00:11:37,00:00:23,00:00:08,10,DAL,shot,,,,,,,,,,Jalen Brunson,3,,,made,,Jump Shot,26,4,258,25.4,63.2,Brunson 26' 3PT Jump Shot (3 PTS)
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,3,3,00:11:19,00:00:41,00:00:18,11,DEN,shot,Will Barton,,,,,,,,,Malik Beasley,3,,,made,,Jump Shot,23,-226,22,47.6,7.2,Beasley  3PT Jump Shot (3 PTS) (Barton 1 AST)
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,3,3,00:10:54,00:01:06,00:00:25,13,DAL,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Fadeaway Jumper,19,111,153,36.1,73.7,MISS Hardaway Jr. 19' Fadeaway Jumper
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,3,3,00:10:51,00:01:09,00:00:03,14,DAL,rebound,,,,,,,,,,Salah Mejri,,,,,,rebound offensive,,,,,,Mejri REBOUND (Off:1 Def:0)
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,3,6,00:10:41,00:01:19,00:00:10,15,DAL,shot,,,,,,,,,,Tim Hardaway Jr.,3,,,made,,Pullup Jump Shot,25,107,227,35.7,66.3,Hardaway Jr. 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021800880""",2018-2019 Regular Season,2019-02-22,Will Barton,Paul Millsap,Nikola Jokic,Malik Beasley,Jamal Murray,Dorian Finney-Smith,Maxi Kleber,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,1,3,6,00:10:29,00:01:31,00:00:12,16,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,unknown,8,-35,68,28.5,11.8,MISS Murray 8' Driving Floating Jump Shot
