game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Deandre Ayton,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Trae Young,,,,jump ball,,,,,,Jump Ball Dedmon vs. Ayton: Tip to Young
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:11:44,00:00:16,00:00:16,7,ATL,miss,,,,Deandre Ayton,,,,,,John Collins,0,,,missed,,Running Layup,9,-16,89,23.4,80.1,"Ayton BLOCK (1 BLK), MISS Collins 9' Running Layup"
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:11:43,00:00:17,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Suns Rebound
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,2,0,00:11:25,00:00:35,00:00:18,10,PHX,shot,Tyler Johnson,,,,,,,,,Josh Jackson,2,,,made,,Turnaround Jump Shot,5,-48,21,29.8,7.1,Jackson 5' Turnaround Jump Shot (2 PTS) (Johnson 1 AST)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,2,0,00:11:02,00:00:58,00:00:23,11,ATL,miss,,,,,,,,,,Kent Bazemore,0,,,missed,,unknown,1,-2,12,24.8,87.8,MISS Bazemore 1' Driving Layup
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,2,0,00:10:59,00:01:01,00:00:03,12,PHX,rebound,,,,,,,,,,Kelly Oubre Jr.,,,,,,rebound defensive,,,,,,Oubre Jr. REBOUND (Off:0 Def:1)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,4,0,00:10:56,00:01:04,00:00:03,13,PHX,shot,Josh Jackson,,,,,,,,,Tyler Johnson,2,,,made,,Layup,1,-3,9,25.3,5.9,Johnson 1' Layup (2 PTS) (Jackson 1 AST)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,4,0,00:10:43,00:01:17,00:00:13,15,PHX,foul,,,,,,,,John Collins,,Kelly Oubre Jr.,,,s.foul,,,s.foul,,,,,,Oubre Jr. S.FOUL (P1.T1) (T.Ford)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,4,1,00:10:43,00:01:17,00:00:00,18,ATL,free throw,,,,,,,1,,2,John Collins,1,,,made,,Free Throw 1 of 2,,,,,,Collins Free Throw 1 of 2 (1 PTS)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,4,2,00:10:43,00:01:17,00:00:00,19,ATL,free throw,,,,,,,2,,2,John Collins,1,,,made,,Free Throw 2 of 2,,,,,,Collins Free Throw 2 of 2 (2 PTS)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,4,2,00:10:27,00:01:33,00:00:16,20,ATL,foul,,,,,,,,Deandre Ayton,,Dewayne Dedmon,,,p.foul,,,p.foul,,,,,,Dedmon P.FOUL (P1.T1) (T.Ford)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,2,00:10:17,00:01:43,00:00:10,22,PHX,shot,Devin Booker,,,,,,,,,Deandre Ayton,2,,,made,,unknown,1,-3,6,25.3,5.6,Ayton 1' Cutting Dunk Shot (2 PTS) (Booker 1 AST)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,2,00:10:09,00:01:51,00:00:08,25,ATL,miss,,,,,,,,,,Kent Bazemore,0,,,missed,,Jump Shot,24,-228,60,2.2,83.0,MISS Bazemore 24' 3PT Jump Shot
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,2,00:10:03,00:01:57,00:00:06,26,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,2,00:09:54,00:02:06,00:00:09,27,PHX,miss,,,,,,,,,,Kelly Oubre Jr.,0,,,missed,,Jump Shot,25,-15,252,26.5,30.2,MISS Oubre Jr. 25' 3PT Jump Shot
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,2,00:09:52,00:02:08,00:00:02,28,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021800883""",2018-2019 Regular Season,2019-02-23,Kelly Oubre Jr.,Josh Jackson,Deandre Ayton,Devin Booker,Tyler Johnson,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,6,4,00:09:45,00:02:15,00:00:07,29,ATL,shot,Taurean Prince,,,,,,,,,Dewayne Dedmon,2,,,made,,unknown,1,3,8,25.3,88.2,Dedmon 1' Driving Dunk (2 PTS) (Prince 1 AST)
