game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Jonas Valanciunas,Ante Zizic,,,,,,,Ante Zizic,,Ivan Rabb,,,,jump ball,,,,,,Jump Ball Zizic vs. Valanciunas: Tip to Rabb
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:40,00:00:20,00:00:20,7,MEM,miss,,,,,,,,,,Jonas Valanciunas,0,,,missed,,unknown,3,13,22,23.7,7.2,MISS Valanciunas 3' Driving Layup
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:37,00:00:23,00:00:03,8,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:33,00:00:27,00:00:04,9,CLE,miss,,,,,,,,,,Brandon Knight,0,,,missed,,Jump Shot,24,120,210,37.0,68.0,MISS Knight 24' 3PT Jump Shot
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:29,00:00:31,00:00:04,10,MEM,rebound,,,,,,,,,,Avery Bradley,,,,,,rebound defensive,,,,,,Bradley REBOUND (Off:0 Def:1)
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:26,00:00:34,00:00:03,11,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,24,-222,84,47.2,13.4,MISS Conley 24' 3PT Jump Shot
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:21,00:00:39,00:00:05,12,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:2)
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,2,00:11:15,00:00:45,00:00:06,13,CLE,shot,Brandon Knight,,,,,,,,,Collin Sexton,2,,,made,,unknown,2,-12,-9,23.8,89.9,Sexton 2' Driving Layup (2 PTS) (Knight 1 AST)
"=""0021800885""",2018-2019 Regular Season,2019-02-23,Justin Holiday,Ivan Rabb,Jonas Valanciunas,Avery Bradley,Mike Conley,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:11:04,00:00:56,00:00:11,15,MEM,shot,Avery Bradley,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,26,7,256,24.3,30.6,Holiday 26' 3PT Jump Shot (3 PTS) (Bradley 1 AST)
