game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Kyle O'Quinn,Bobby Portis,,,,,,,Bobby Portis,,Bojan Bogdanovic,,,,jump ball,,,,,,Jump Ball Portis vs. O'Quinn: Tip to Bogdanovic
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,0,00:11:46,00:00:14,00:00:14,7,IND,shot,Bojan Bogdanovic,,,,,,,,,Kyle O'Quinn,2,,,made,,Jump Shot,20,-87,185,33.7,23.5,O'Quinn 20' Jump Shot (2 PTS) (Bogdanovic 1 AST)
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:11:26,00:00:34,00:00:20,9,WAS,shot,Bradley Beal,,,,,,,,,Bobby Portis,3,,,made,,Jump Shot,27,-82,253,16.8,63.7,Portis 27' 3PT Jump Shot (3 PTS) (Beal 1 AST)
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:11:03,00:00:57,00:00:23,11,IND,turnover,,,,,,,,,,Thaddeus Young,,,backcourt,,,backcourt,,,,,,Young Backcourt Turnover (P1.T1)
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:10:54,00:01:06,00:00:09,12,WAS,miss,,,,,,,,,,Bobby Portis,0,,,missed,,Jump Shot,26,-50,252,20.0,63.8,MISS Portis 26' 3PT Jump Shot
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:10:50,00:01:10,00:00:04,13,IND,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:10:47,00:01:13,00:00:03,14,WAS,foul,,,,,,,,Darren Collison,,Tomas Satoransky,,,p.foul,,,p.foul,,,,,,Satoransky P.FOUL (P1.T1) (J.Goble)
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:10:29,00:01:31,00:00:18,16,IND,miss,,,,Jeff Green,,,,,,Darren Collison,0,,,missed,,unknown,6,-64,5,31.4,5.5,"MISS Collison 6' Driving Layup, Green BLOCK (1 BLK)"
"=""0021800886""",2018-2019 Regular Season,2019-02-23,Bojan Bogdanovic,Thaddeus Young,Kyle O'Quinn,Wesley Matthews,Darren Collison,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,3,00:10:25,00:01:35,00:00:04,18,WAS,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
