game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Al Horford,Robin Lopez,,,,,,,Robin Lopez,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Lopez vs. Horford: Tip to Dunn
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:45,00:00:15,00:00:15,7,CHI,turnover,,,,,,,,,,Kris Dunn,,,traveling ,,,traveling ,,,,,,Dunn Traveling Turnover (P1.T1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:11:35,00:00:25,00:00:10,8,BOS,shot,Marcus Morris,,,,,,,,,Jayson Tatum,2,,,made,,unknown,2,14,8,23.6,5.8,Tatum 2' Cutting Layup Shot (2 PTS) (Morris 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:11:18,00:00:42,00:00:17,10,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,22,223,-9,47.3,89.9,MISS Markkanen  3PT Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:11:15,00:00:45,00:00:03,11,BOS,rebound,,,,,,,,,,Marcus Smart,,,,,,rebound defensive,,,,,,Smart REBOUND (Off:0 Def:1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,0,00:11:08,00:00:52,00:00:07,12,BOS,shot,Marcus Smart,,,,,,,,,Jayson Tatum,3,,,made,,Jump Shot,25,196,162,5.4,21.2,Tatum 25' 3PT Jump Shot (5 PTS) (Smart 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,0,00:10:54,00:01:06,00:00:14,14,CHI,miss,,,,,,,,,,Otto Porter Jr.,0,,,missed,,Jump Shot,26,-160,199,9.0,69.1,MISS Porter Jr. 26' 3PT Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,0,00:10:49,00:01:11,00:00:05,15,BOS,rebound,,,,,,,,,,Marcus Smart,,,,,,rebound defensive,,,,,,Smart REBOUND (Off:0 Def:2)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,0,00:10:43,00:01:17,00:00:06,17,BOS,shot,Marcus Smart,,,,,,,,,Jayson Tatum,2,,,made,,Pullup Jump Shot,18,181,-11,6.9,3.9,Tatum 18' Pullup Jump Shot (7 PTS) (Smart 2 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,0,00:10:43,00:01:17,00:00:00,19,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,BULLS Timeout: Regular (Full 1 Short 0)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:16,00:01:44,00:00:27,20,CHI,shot,Otto Porter Jr.,,,,,,,,,Zach LaVine,2,,,made,,unknown,2,-14,18,23.6,87.2,LaVine 2' Driving Layup (2 PTS) (Porter Jr. 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:04,00:01:56,00:00:12,22,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,unknown,8,20,74,23.0,12.4,MISS Irving 8' Driving Floating Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:00,00:02:00,00:00:04,23,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,4,00:09:55,00:02:05,00:00:05,24,CHI,shot,Kris Dunn,,,,,,,,,Robin Lopez,2,,,made,,Layup,2,-24,6,22.6,88.4,Lopez 2' Layup (2 PTS) (Dunn 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,4,00:09:55,00:02:05,00:00:00,26,BOS,foul,,,,,,,,Robin Lopez,,Jayson Tatum,,,s.foul,,,s.foul,,,,,,Tatum S.FOUL (P1.T1) (K.Mauer)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,5,00:09:55,00:02:05,00:00:00,28,CHI,free throw,,,,,,,1,,1,Robin Lopez,1,,,made,,Free Throw 1 of 1,,,,,,Lopez Free Throw 1 of 1 (3 PTS)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,5,00:09:40,00:02:20,00:00:15,29,BOS,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Jump Shot,25,-154,193,40.4,24.3,MISS Morris 25' 3PT Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,5,00:09:36,00:02:24,00:00:04,30,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,5,00:09:35,00:02:25,00:00:01,31,CHI,foul,,,,,,,,Marcus Smart,,Otto Porter Jr.,,,offensive charge foul,,,offensive charge foul,,,,,,Porter Jr. Offensive Charge Foul (P1.T1) (M.Myers)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,5,00:09:35,00:02:25,00:00:00,33,CHI,turnover,,,,,,,,,,Otto Porter Jr.,,,offensive foul turnover,,,offensive foul turnover,,,,,,Porter Jr. Offensive Foul Turnover (P1.T2)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,9,5,00:09:23,00:02:37,00:00:12,34,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,2,,,made,,Jump Shot,14,-130,58,38.0,10.8,Horford 14' Jump Shot (2 PTS) (Irving 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,9,5,00:09:12,00:02:48,00:00:11,36,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,27,-72,257,17.8,63.3,MISS Markkanen 27' 3PT Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,9,5,00:09:09,00:02:51,00:00:03,37,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound offensive,,,,,,Lopez REBOUND (Off:1 Def:1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,9,7,00:09:07,00:02:53,00:00:02,38,CHI,shot,Robin Lopez,,,,,,,,,Lauri Markkanen,2,,,made,,unknown,0,5,0,25.5,89.0,Markkanen 1' Cutting Layup Shot (2 PTS) (Lopez 1 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,7,00:08:56,00:03:04,00:00:11,40,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,2,,,made,,Jump Shot,15,-64,136,31.4,18.6,Horford 15' Jump Shot (4 PTS) (Irving 2 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,7,00:08:33,00:03:27,00:00:23,42,CHI,miss,,,,,,,,,,Robin Lopez,0,,,missed,,Hook Shot,2,24,1,27.4,88.9,MISS Lopez 2' Hook Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,7,00:08:31,00:03:29,00:00:02,43,BOS,rebound,,,,,,,,,,Marcus Smart,,,,,,rebound defensive,,,,,,Smart REBOUND (Off:0 Def:3)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,13,7,00:08:24,00:03:36,00:00:07,44,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,unknown,1,-8,10,25.8,6.0,Irving 1' Driving Layup (2 PTS)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,13,10,00:08:15,00:03:45,00:00:09,45,CHI,shot,Kris Dunn,,,,,,,,,Zach LaVine,3,,,made,,Pullup Jump Shot,26,-111,236,13.9,65.4,LaVine 26' 3PT Pullup Jump Shot (5 PTS) (Dunn 2 AST)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,13,10,00:08:02,00:03:58,00:00:13,48,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,26,197,167,5.3,21.7,MISS Irving 26' 3PT Jump Shot
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,13,10,00:08:00,00:04:00,00:00:02,49,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,13,13,00:07:56,00:04:04,00:00:04,50,CHI,shot,,,,,,,,,,Zach LaVine,3,,,made,,Pullup Jump Shot,26,124,230,37.4,66.0,LaVine 26' 3PT Pullup Jump Shot (8 PTS)
"=""0021800889""",2018-2019 Regular Season,2019-02-23,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,15,13,00:07:39,00:04:21,00:00:17,51,BOS,shot,Al Horford,,,,,,,,,Marcus Morris,2,,,made,,Pullup Jump Shot,15,-85,119,33.5,16.9,Morris 15' Pullup Jump Shot (2 PTS) (Horford 1 AST)
