game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Salah Mejri,Rudy Gobert,,,,,,,Rudy Gobert,,Jalen Brunson,,,,jump ball,,,,,,Jump Ball Gobert vs. Mejri: Tip to Brunson
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:47,00:00:13,00:00:13,7,DAL,shot,Jalen Brunson,,,,,,,,,Tim Hardaway Jr.,2,,,made,,Floating Jump Shot,11,60,92,19.0,14.2,Hardaway Jr. 11' Floating Jump Shot (2 PTS) (Brunson 1 AST)
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:29,00:00:31,00:00:18,8,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,27,-82,260,16.8,63.0,MISS Ingles 27' 3PT Jump Shot
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:27,00:00:33,00:00:02,9,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:20,00:00:40,00:00:07,10,DAL,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Pullup Jump Shot,18,50,171,20.0,22.1,MISS Hardaway Jr. 18' Pullup Jump Shot
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:17,00:00:43,00:00:03,11,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:11:13,00:00:47,00:00:04,13,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,Running Layup,3,27,20,27.7,87.0,Mitchell 3' Running Layup (2 PTS)
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:11:13,00:00:47,00:00:00,14,DAL,foul,,,,,,,,Donovan Mitchell,,Dorian Finney-Smith,,,s.foul,,,s.foul,,,,,,Finney-Smith S.FOUL (P1.T1) (S.Foster)
"=""0021800893""",2018-2019 Regular Season,2019-02-23,Dorian Finney-Smith,Dirk Nowitzki,Salah Mejri,Tim Hardaway Jr.,Jalen Brunson,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,3,00:11:13,00:00:47,00:00:00,16,UTA,free throw,,,,,,,1,,1,Donovan Mitchell,1,,,made,,Free Throw 1 of 1,,,,,,Mitchell Free Throw 1 of 1 (3 PTS)
