game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Myles Turner,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Turner: Tip to Griffin
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:40,00:00:20,00:00:20,7,DET,miss,,,,,,,,,,Bruce Brown,0,,,missed,,unknown,3,14,27,26.4,86.3,MISS Brown 3' Driving Layup
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:37,00:00:23,00:00:03,8,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:21,00:00:39,00:00:16,9,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Jump Shot,18,-178,-22,42.8,2.8,MISS Collison 18' Jump Shot
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:18,00:00:42,00:00:03,10,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound offensive,,,,,,Young REBOUND (Off:1 Def:0)
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,0,00:11:13,00:00:47,00:00:05,11,IND,shot,,,,,,,,,,Thaddeus Young,2,,,made,,Step Back Jump Shot,18,160,79,9.0,12.9,Young 18' Step Back Jump Shot (2 PTS)
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:54,00:01:06,00:00:19,12,DET,shot,Reggie Jackson,,,,,,,,,Andre Drummond,2,,,made,,Jump Shot,13,53,120,30.3,77.0,Drummond 13' Jump Shot (2 PTS) (Jackson 1 AST)
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:45,00:01:15,00:00:09,14,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,Turnaround Hook Shot,5,16,50,23.4,10.0,MISS Bogdanovic 5' Turnaround Hook Shot
"=""0021800899""",2018-2019 Regular Season,2019-02-25,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:42,00:01:18,00:00:03,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
