game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,LaMarcus Aldridge,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Aldridge: Tip to Russell
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:47,00:00:13,00:00:13,7,BKN,miss,,,,,,,,,,Treveon Graham,0,,,missed,,Jump Shot,26,-27,257,22.3,63.3,MISS Graham 26' 3PT Jump Shot
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:43,00:00:17,00:00:04,8,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:36,00:00:24,00:00:07,9,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,10,-96,3,34.6,5.3,MISS Aldridge 10' Jump Shot
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:33,00:00:27,00:00:03,10,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:24,00:00:36,00:00:09,11,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Pullup Jump Shot,25,-20,248,23.0,64.2,MISS Russell 25' 3PT Pullup Jump Shot
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:20,00:00:40,00:00:04,12,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:05,00:00:55,00:00:15,13,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,unknown,11,28,110,22.2,16.0,MISS White 11' Driving Floating Jump Shot
"=""0021800900""",2018-2019 Regular Season,2019-02-25,DeMar DeRozan,Davis Bertans,LaMarcus Aldridge,Derrick White,Bryn Forbes,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:11:00,00:01:00,00:00:05,14,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:2)
