game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Robin Lopez,,,,,,,Robin Lopez,,Eric Bledsoe,,,,jump ball,,,,,,Jump Ball Lopez vs. Lopez: Tip to Bledsoe
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,0,00:11:35,00:00:25,00:00:25,7,MIL,shot,,,,,,,,,,Khris Middleton,2,,,made,,Step Back Jump Shot,20,-196,8,44.6,5.8,Middleton 20' Step Back Jump Shot (2 PTS)
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:11:21,00:00:39,00:00:14,8,CHI,shot,Timothe Luwawu-Cabarrot,,,,,,,,,Lauri Markkanen,2,,,made,,Jump Shot,22,4,223,25.4,66.7,Markkanen 22' Jump Shot (2 PTS) (Luwawu-Cabarrot 1 AST)
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:11:10,00:00:50,00:00:11,10,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,27,195,185,5.5,23.5,MISS Lopez 27' 3PT Jump Shot
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:11:08,00:00:52,00:00:02,11,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:10:58,00:01:02,00:00:10,12,CHI,miss,,,,Brook Lopez,,,,,,Lauri Markkanen,0,,,missed,,Layup,4,42,11,29.2,87.9,"Lopez BLOCK (1 BLK), MISS Markkanen 4' Layup"
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:10:56,00:01:04,00:00:02,14,MIL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound defensive,,,,,,Ilyasova REBOUND (Off:0 Def:1)
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:10:52,00:01:08,00:00:04,15,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,26,127,231,12.3,28.1,MISS Brogdon 26' 3PT Jump Shot
"=""0021800902""",2018-2019 Regular Season,2019-02-25,Khris Middleton,Ersan Ilyasova,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Ryan Arcidiacono,1,2,2,00:10:46,00:01:14,00:00:06,16,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound offensive,,,,,,Bledsoe REBOUND (Off:1 Def:0)
