game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nikola Vucevic,Noah Vonleh,,,,,,,Noah Vonleh,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Vonleh vs. Vucevic: Tip to Isaac
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,2,0,00:11:45,00:00:15,00:00:15,7,ORL,shot,Nikola Vucevic,,,,,,,,,Aaron Gordon,2,,,made,,Layup,1,9,8,24.1,5.8,Gordon 1' Layup (2 PTS) (Vucevic 1 AST)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,2,0,00:11:29,00:00:31,00:00:16,9,NYK,miss,,,,,,,,,,Damyean Dotson,0,,,missed,,Jump Shot,16,-164,18,8.6,87.2,MISS Dotson 16' Jump Shot
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,2,0,00:11:27,00:00:33,00:00:02,10,ORL,rebound,,,,,,,,,,Jonathan Isaac,,,,,,rebound defensive,,,,,,Isaac REBOUND (Off:0 Def:1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,4,0,00:11:18,00:00:42,00:00:09,11,ORL,shot,D.J. Augustin,,,,,,,,,Nikola Vucevic,2,,,made,,Layup,2,13,16,23.7,6.6,Vucevic 2' Layup (2 PTS) (Augustin 1 AST)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,4,0,00:11:08,00:00:52,00:00:10,13,ORL,foul,,,,,,,,Dennis Smith Jr.,,D.J. Augustin,,,s.foul,,,s.foul,,,,,,Augustin S.FOUL (P1.T1) (A.Smith)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,4,0,00:11:08,00:00:52,00:00:00,15,NYK,free throw,,,,,,,1,,2,Dennis Smith Jr.,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Smith Jr. Free Throw 1 of 2
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,4,0,00:11:08,00:00:52,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,4,1,00:11:08,00:00:52,00:00:00,17,NYK,free throw,,,,,,,2,,2,Dennis Smith Jr.,1,,,made,,Free Throw 2 of 2,,,,,,Smith Jr. Free Throw 2 of 2 (1 PTS)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:48,00:01:12,00:00:20,18,ORL,shot,Nikola Vucevic,,,,,,,,,Jonathan Isaac,3,,,made,,Jump Shot,23,229,-11,2.1,3.9,Isaac  3PT Jump Shot (3 PTS) (Vucevic 2 AST)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:35,00:01:25,00:00:13,20,NYK,miss,,,,Aaron Gordon,,,,,,Kevin Knox,0,,,missed,,Jump Shot,19,-121,147,12.9,74.3,"Gordon BLOCK (1 BLK), MISS Knox 19' Jump Shot"
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:33,00:01:27,00:00:02,22,ORL,rebound,,,,,,,,,,Jonathan Isaac,,,,,,rebound defensive,,,,,,Isaac REBOUND (Off:0 Def:2)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:17,00:01:43,00:00:16,23,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Turnaround Hook Shot,5,-44,26,29.4,7.6,MISS Vucevic 5' Turnaround Hook Shot
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:15,00:01:45,00:00:02,24,NYK,rebound,,,,,,,,,,Lance Thomas,,,,,,rebound defensive,,,,,,Thomas REBOUND (Off:0 Def:1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:08,00:01:52,00:00:07,25,NYK,miss,,,,Nikola Vucevic,,,,,,Dennis Smith Jr.,0,,,missed,,unknown,2,11,11,26.1,87.9,"Vucevic BLOCK (1 BLK), MISS Smith Jr. 2' Driving Layup"
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:07,00:01:53,00:00:01,27,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:10:06,00:01:54,00:00:01,28,ORL,turnover,,,,,,,,,,Evan Fournier,,,,,,unknown,,,,,,Fournier Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:46,00:02:14,00:00:20,29,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,unknown,2,16,12,26.6,87.8,MISS Knox 2' Driving Layup
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:44,00:02:16,00:00:02,30,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:2)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:30,00:02:30,00:00:14,31,ORL,miss,,,,Dennis Smith Jr.,,,,,,Jonathan Isaac,0,,,missed,,unknown,2,18,9,23.2,5.9,"MISS Isaac 2' Driving Dunk, Smith Jr. BLOCK (1 BLK)"
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:29,00:02:31,00:00:01,33,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:27,00:02:33,00:00:02,35,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,23,230,15,2.0,6.5,MISS Fournier  3PT Jump Shot
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:25,00:02:35,00:00:02,36,NYK,rebound,,,,,,,,,,Damyean Dotson,,,,,,rebound defensive,,,,,,Dotson REBOUND (Off:0 Def:1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:17,00:02:43,00:00:08,37,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Jump Shot,26,-209,148,4.1,74.2,MISS Knox 26' 3PT Jump Shot
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:15,00:02:45,00:00:02,38,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound offensive,,,,,,Vonleh REBOUND (Off:1 Def:0)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:10,00:02:50,00:00:05,39,NYK,miss,,,,,,,,,,Lance Thomas,0,,,missed,,Jump Shot,26,-76,249,17.4,64.1,MISS Thomas 26' 3PT Jump Shot
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:08,00:02:52,00:00:02,40,ORL,rebound,,,,,,,,,,D.J. Augustin,,,,,,rebound defensive,,,,,,Augustin REBOUND (Off:0 Def:1)
"=""0021800908""",2018-2019 Regular Season,2019-02-26,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,D.J. Augustin,Evan Fournier,Kevin Knox,Lance Thomas,Noah Vonleh,Damyean Dotson,Dennis Smith Jr.,1,7,1,00:09:05,00:02:55,00:00:03,41,ORL,turnover,,,,,,,,,,D.J. Augustin,,,lost ball ,,Damyean Dotson,lost ball ,,,,,,"Augustin Lost Ball Turnover (P1.T2), Dotson STEAL (1 STL)"
