game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Dario Saric,,,,jump ball,,,,,,Jump Ball Dedmon vs. Towns: Tip to Saric
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:48,00:00:12,00:00:12,7,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Turnaround Jump Shot,19,132,143,11.8,19.3,MISS Wiggins 19' Turnaround Jump Shot
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:45,00:00:15,00:00:03,8,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:35,00:00:25,00:00:10,9,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,unknown,7,51,44,30.1,84.6,MISS Huerter 7' Driving Floating Jump Shot
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:30,00:00:30,00:00:05,10,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound offensive,,,,,,Dedmon REBOUND (Off:1 Def:1)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:30,00:00:30,00:00:00,11,ATL,shot,,,,,,,,,,Dewayne Dedmon,2,,,made,,Putback Layup,1,0,-6,25.0,89.6,Dedmon 1' Putback Layup (2 PTS)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:19,00:00:41,00:00:11,12,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,unknown,3,22,25,22.8,7.5,MISS Wiggins 3' Driving Floating Bank Jump Shot
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:14,00:00:46,00:00:05,13,ATL,rebound,,,,,,,,,,Kevin Huerter,,,,,,rebound defensive,,,,,,Huerter REBOUND (Off:0 Def:1)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:08,00:00:52,00:00:06,14,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,unknown,3,-14,25,23.6,86.5,MISS Prince 3' Driving Layup
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:05,00:00:55,00:00:03,15,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,2,00:10:59,00:01:01,00:00:06,16,MIN,shot,Dario Saric,,,,,,,,,Karl-Anthony Towns,3,,,made,,Jump Shot,24,-8,243,25.8,29.3,Towns 24' 3PT Jump Shot (3 PTS) (Saric 1 AST)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,2,00:10:43,00:01:17,00:00:16,18,MIN,foul,,,,,,,,John Collins,,Dario Saric,,,s.foul,,,s.foul,,,,,,Saric S.FOUL (P1.T1) (B.Nansel)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,3,00:10:43,00:01:17,00:00:00,20,ATL,free throw,,,,,,,1,,2,John Collins,1,,,made,,Free Throw 1 of 2,,,,,,Collins Free Throw 1 of 2 (1 PTS)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,4,00:10:43,00:01:17,00:00:00,21,ATL,free throw,,,,,,,2,,2,John Collins,1,,,made,,Free Throw 2 of 2,,,,,,Collins Free Throw 2 of 2 (2 PTS)
"=""0021800912""",2018-2019 Regular Season,2019-02-27,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,3,4,00:10:31,00:01:29,00:00:12,22,MIN,turnover,,,,,,,,,,Tyus Jones,,,bad pass ,,Kevin Huerter,bad pass ,,,,,,"Jones Bad Pass Turnover (P1.T1), Huerter STEAL (1 STL)"
