game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Kevin Durant,Bam Adebayo,,,,,,,Bam Adebayo,,Draymond Green,,,,jump ball,,,,,,Jump Ball Adebayo vs. Durant: Tip to Green
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,0,00:11:40,00:00:20,00:00:20,7,GSW,shot,Kevin Durant,,,,,,,,,Klay Thompson,3,,,made,,Jump Shot,26,154,205,9.6,25.5,Thompson 26' 3PT Jump Shot (3 PTS) (Durant 1 AST)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,0,00:11:26,00:00:34,00:00:14,9,GSW,foul,,,,,,,,Bam Adebayo,,Draymond Green,,,p.foul,,,p.foul,,,,,,Green P.FOUL (P1.T1) (J.Phillips)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,0,00:11:23,00:00:37,00:00:03,11,GSW,foul,,,,,,,,Josh Richardson,,Stephen Curry,,,p.foul,,,p.foul,,,,,,Curry P.FOUL (P1.T2) (J.Phillips)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:11:12,00:00:48,00:00:11,13,MIA,shot,Josh Richardson,,,,,,,,,Kelly Olynyk,3,,,made,,Jump Shot,24,-192,151,5.8,73.9,Olynyk 24' 3PT Jump Shot (3 PTS) (Richardson 1 AST)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:10:59,00:01:01,00:00:13,15,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Jump Shot,25,176,180,7.4,23.0,MISS Curry 25' 3PT Jump Shot
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:10:57,00:01:03,00:00:02,16,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound defensive,,,,,,Adebayo REBOUND (Off:0 Def:1)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:10:53,00:01:07,00:00:04,17,GSW,foul,,,,,,,,Bam Adebayo,,Kevon Looney,,,s.foul,,,s.foul,,,,,,Looney S.FOUL (P1.T3) (H.Workman)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:10:53,00:01:07,00:00:00,19,MIA,free throw,,,,,,,1,,2,Bam Adebayo,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Adebayo Free Throw 1 of 2
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,3,00:10:53,00:01:07,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HEAT Rebound
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,4,00:10:53,00:01:07,00:00:00,21,MIA,free throw,,,,,,,2,,2,Bam Adebayo,1,,,made,,Free Throw 2 of 2,,,,,,Adebayo Free Throw 2 of 2 (1 PTS)
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,4,00:10:33,00:01:27,00:00:20,22,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,23,-232,10,48.2,6.0,MISS Thompson  3PT Jump Shot
"=""0021800915""",2018-2019 Regular Season,2019-02-27,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,3,4,00:10:30,00:01:30,00:00:03,23,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
