game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,0:12:00,0:00:00,0:00:00,4,IND,jump ball,,Myles Turner,Dwight Powell,,,,,,,Dwight Powell,,Darren Collison,,,,jump ball,,,,,,Jump Ball Powell vs. Turner: Tip to Collison
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,0:11:37,0:00:23,0:00:23,7,IND,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,Jump Shot,29,130,255,12,30.5,MISS Matthews 29' 3PT Jump Shot
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,0:11:34,0:00:26,0:00:03,8,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:11:22,0:00:38,0:00:12,9,DAL,shot,Jalen Brunson,,,,,,,,,Dirk Nowitzki,2,,,made,,Jump Shot,19,101,155,35.1,73.5,Nowitzki 19' Jump Shot (2 PTS) (Brunson 1 AST)
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:11:03,0:00:57,0:00:19,11,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,11,103,43,14.7,9.3,MISS Turner 11' Jump Shot
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:10:59,0:01:01,0:00:04,12,IND,jump ball,,Myles Turner,Dwight Powell,,,,,,,Dwight Powell,,Bojan Bogdanovic,,,,jump ball,,,,,,Jump Ball Powell vs. Turner: Tip to Bogdanovic
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:10:59,0:01:01,0:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pacers Rebound
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:10:42,0:01:18,0:00:17,16,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Turnaround Hook Shot,7,-70,24,32,7.4,MISS Young 7' Turnaround Hook Shot
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:10:41,0:01:19,0:00:01,17,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:2)
0021800918,2018-2019 Regular Season,2/27/2019,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,2,0:10:34,0:01:26,0:00:07,18,DAL,turnover,,,,,,,,,,Luka Doncic,,,lost ball ,,Myles Turner,lost ball ,,,,,,"Turner STEAL (1 STL), Doncic Lost Ball Turnover (P1.T1)"
