game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Brook Lopez,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Harrison Barnes,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Lopez: Tip to Barnes
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,2,00:11:40,00:00:20,00:00:20,7,SAC,shot,Willie Cauley-Stein,,,,,,,,,Buddy Hield,2,,,made,,Step Back Jump Shot,14,134,32,38.4,85.8,Hield 14' Step Back Jump Shot (2 PTS) (Cauley-Stein 1 AST)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,2,00:11:24,00:00:36,00:00:16,9,MIL,shot,Eric Bledsoe,,,,,,,,,Malcolm Brogdon,3,,,made,,Jump Shot,25,-102,230,35.2,28.0,Brogdon 25' 3PT Jump Shot (3 PTS) (Bledsoe 1 AST)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,4,00:11:12,00:00:48,00:00:12,11,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,Jump Shot,11,-41,104,20.9,78.6,Fox 11' Jump Shot (2 PTS)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,4,00:10:57,00:01:03,00:00:15,12,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,23,231,-7,1.9,4.3,MISS Bledsoe  3PT Jump Shot
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,4,00:10:53,00:01:07,00:00:04,13,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,4,00:10:52,00:01:08,00:00:01,14,MIL,foul,,,,,,,,De'Aaron Fox,,Brook Lopez,,,s.foul,,,s.foul,,,,,,Lopez S.FOUL (P1.T1) (D.Richardson)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,5,00:10:52,00:01:08,00:00:00,16,SAC,free throw,,,,,,,1,,2,De'Aaron Fox,1,,,made,,Free Throw 1 of 2,,,,,,Fox Free Throw 1 of 2 (3 PTS)
"=""0021800920""",2018-2019 Regular Season,2019-02-27,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,3,6,00:10:52,00:01:08,00:00:00,17,SAC,free throw,,,,,,,2,,2,De'Aaron Fox,1,,,made,,Free Throw 2 of 2,,,,,,Fox Free Throw 2 of 2 (4 PTS)
