game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Brandon Ingram,,,,,,,Brandon Ingram,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Ingram vs. Davis: Tip to Payton
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:45,00:00:15,00:00:15,7,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Jump Shot,25,221,116,2.9,16.6,MISS Randle 25' 3PT Jump Shot
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:42,00:00:18,00:00:03,8,LAL,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound defensive,,,,,,Rondo REBOUND (Off:0 Def:1)
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:27,00:00:33,00:00:15,9,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,26,161,206,41.1,68.4,MISS Kuzma 26' 3PT Jump Shot
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:24,00:00:36,00:00:03,10,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:13,00:00:47,00:00:11,11,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,Layup,2,-14,17,26.4,6.7,MISS Williams 2' Layup
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:09,00:00:51,00:00:04,12,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:09,00:00:51,00:00:00,13,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Williams 1' Tip Layup Shot
"=""0021800921""",2018-2019 Regular Season,2019-02-27,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,1,0,0,00:11:08,00:00:52,00:00:01,14,LAL,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound defensive,,,,,,Rondo REBOUND (Off:0 Def:2)
