game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Robin Lopez,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Lauri Markkanen,,,,jump ball,,,,,,Jump Ball Dedmon vs. Lopez: Tip to Markkanen
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:44,00:00:16,00:00:16,7,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Turnaround Jump Shot,11,103,27,14.7,7.7,MISS Markkanen 11' Turnaround Jump Shot
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:39,00:00:21,00:00:05,8,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:35,00:00:25,00:00:04,9,ATL,turnover,,,,,,,,,,Trae Young,,,traveling ,,,traveling ,,,,,,Young Traveling Turnover (P1.T1)
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:23,00:00:37,00:00:12,10,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,36,247,21.4,29.7,MISS Markkanen 25' 3PT Jump Shot
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:19,00:00:41,00:00:04,11,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:2)
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:13,00:00:47,00:00:06,12,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Step Back Jump Shot,25,41,247,29.1,64.3,MISS Huerter 25' 3PT Step Back Jump Shot
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:10,00:00:50,00:00:03,13,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,0,00:10:53,00:01:07,00:00:17,14,CHI,shot,,,,,,,,,,Kris Dunn,2,,,made,,unknown,1,6,13,24.4,6.3,Dunn 1' Driving Layup (2 PTS)
"=""0021800928""",2018-2019 Regular Season,2019-03-01,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,Taurean Prince,Omari Spellman,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,3,00:10:39,00:01:21,00:00:14,15,ATL,shot,Omari Spellman,,,,,,,,,Taurean Prince,3,,,made,,Jump Shot,25,-156,201,9.4,68.9,Prince 25' 3PT Jump Shot (3 PTS) (Spellman 1 AST)
