game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Cody Zeller,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Zeller: Tip to Russell
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,0,2,00:11:46,00:00:14,00:00:14,7,BKN,shot,D'Angelo Russell,,,,,,,,,Jarrett Allen,2,,,made,,unknown,1,3,11,25.3,87.9,Allen 1' Cutting Dunk Shot (2 PTS) (Russell 1 AST)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:11:30,00:00:30,00:00:16,9,CHA,shot,Nicolas Batum,,,,,,,,,Miles Bridges,2,,,made,,Turnaround Hook Shot,5,-24,40,27.4,9.0,Bridges 5' Turnaround Hook Shot (2 PTS) (Batum 1 AST)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:11:19,00:00:41,00:00:11,10,BKN,turnover,,,,,,,,,,D'Angelo Russell,,,bad pass ,,Miles Bridges,bad pass ,,,,,,"Bridges STEAL (1 STL), Russell Bad Pass Turnover (P1.T1)"
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:11:14,00:00:46,00:00:05,12,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Running Finger Roll Layup,2,-21,10,27.1,6.0,MISS Bridges 2' Running Finger Roll Layup
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:11:11,00:00:49,00:00:03,13,BKN,rebound,,,,,,,,,,Caris LeVert,,,,,,rebound defensive,,,,,,LeVert REBOUND (Off:0 Def:1)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:57,00:01:03,00:00:14,14,BKN,miss,,,,,,,,,,Treveon Graham,0,,,missed,,Jump Shot,24,236,6,48.6,88.4,MISS Graham 24' 3PT Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:55,00:01:05,00:00:02,15,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:45,00:01:15,00:00:10,16,CHA,turnover,,,,,,,,,,Nicolas Batum,,,bad pass ,,Joe Harris,bad pass ,,,,,,"Batum Bad Pass Turnover (P1.T1), Harris STEAL (1 STL)"
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:39,00:01:21,00:00:06,18,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Jump Shot,26,-131,226,11.9,66.4,MISS Russell 26' 3PT Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:35,00:01:25,00:00:04,19,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:14,00:01:46,00:00:21,20,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Pullup Jump Shot,6,58,3,19.2,5.3,MISS Walker 6' Pullup Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,2,00:10:11,00:01:49,00:00:03,21,BKN,rebound,,,,,,,,,,Caris LeVert,,,,,,rebound defensive,,,,,,LeVert REBOUND (Off:0 Def:2)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,4,00:10:05,00:01:55,00:00:06,23,BKN,shot,Joe Harris,,,,,,,,,Caris LeVert,2,,,made,,unknown,1,8,5,25.8,88.5,LeVert 1' Cutting Layup Shot (2 PTS) (Harris 1 AST)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,4,00:09:52,00:02:08,00:00:13,25,CHA,foul,,,,,,,,Treveon Graham,,Cody Zeller,,,off.foul,,,off.foul,,,,,,Zeller OFF.Foul (P1) (R.Mott)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,4,00:09:52,00:02:08,00:00:00,27,CHA,turnover,,,,,,,,,,Cody Zeller,,,offensive foul turnover,,,offensive foul turnover,,,,,,Zeller Offensive Foul Turnover (P1.T2)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:40,00:02:20,00:00:12,28,BKN,shot,Jarrett Allen,,,,,,,,,D'Angelo Russell,2,,,made,,unknown,1,-7,13,24.3,87.7,Russell 1' Cutting Layup Shot (2 PTS) (Allen 1 AST)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:19,00:02:41,00:00:21,30,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,unknown,11,104,-26,14.6,2.4,MISS Williams 11' Driving Floating Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:17,00:02:43,00:00:02,31,BKN,rebound,,,,,,,,,,Caris LeVert,,,,,,rebound defensive,,,,,,LeVert REBOUND (Off:0 Def:3)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:12,00:02:48,00:00:05,32,BKN,miss,,,,,,,,,,Jarrett Allen,0,,,missed,,Layup,1,11,5,26.1,88.5,MISS Allen 1' Layup
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:10,00:02:50,00:00:02,33,CHA,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,6,00:09:06,00:02:54,00:00:04,34,CHA,turnover,,,,,,,,,,Kemba Walker,,,,,,unknown,,,,,,Walker Out of Bounds - Bad Pass Turnover Turnover (P1.T3)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,2,8,00:08:56,00:03:04,00:00:10,35,BKN,shot,D'Angelo Russell,,,,,,,,,Joe Harris,2,,,made,,Floating Jump Shot,8,8,76,25.8,81.4,Harris 8' Floating Jump Shot (2 PTS) (Russell 2 AST)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:08:41,00:03:19,00:00:15,37,CHA,shot,,,,,,,,,,Cody Zeller,2,,,made,,Pullup Jump Shot,21,-112,177,36.2,22.7,Zeller 21' Pullup Jump Shot (2 PTS)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:08:30,00:03:30,00:00:11,38,BKN,miss,,,,,,,,,,Caris LeVert,0,,,missed,,Step Back Jump Shot,19,76,179,32.6,71.1,MISS LeVert 19' Step Back Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:08:30,00:03:30,00:00:00,40,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:2)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:08:11,00:03:49,00:00:19,41,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Step Back Jump Shot,21,89,192,16.1,24.2,MISS Walker 21' Step Back Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:08:08,00:03:52,00:00:03,42,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:07:57,00:04:03,00:00:11,43,CHA,foul,,,,,,,,Jarrett Allen,,Marvin Williams,,,p.foul,,,p.foul,,,,,,Williams P.FOUL (P1.T1) (R.Mott)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:07:54,00:04:06,00:00:03,45,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Pullup Jump Shot,13,-36,125,21.4,76.5,MISS Russell 13' Pullup Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,4,8,00:07:51,00:04:09,00:00:03,46,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:3)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,6,8,00:07:42,00:04:18,00:00:09,47,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Fadeaway Jumper,14,87,108,16.3,15.8,Walker 14' Fadeaway Jumper (2 PTS)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,6,8,00:07:31,00:04:29,00:00:11,48,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,unknown,9,-63,68,18.7,82.2,MISS Russell 9' Driving Floating Jump Shot
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,6,8,00:07:27,00:04:33,00:00:04,49,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:4)
"=""0021800929""",2018-2019 Regular Season,2019-03-01,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,1,8,8,00:07:21,00:04:39,00:00:06,50,CHA,shot,Miles Bridges,,,,,,,,,Kemba Walker,2,,,made,,unknown,1,-8,3,25.8,5.3,Walker 1' Driving Layup (4 PTS) (Bridges 1 AST)
