game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nikola Vucevic,Myles Turner,,,,,,,Myles Turner,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Turner vs. Vucevic: Tip to Isaac
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:44,00:00:16,00:00:16,7,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Turnaround Fadeaway ,5,7,48,24.3,9.8,MISS Gordon 5' Turnaround Fadeaway Shot
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:41,00:00:19,00:00:03,8,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:24,00:00:36,00:00:17,9,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Running Jump Shot,5,-16,48,23.4,84.2,MISS Turner 5' Running Jump Shot
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:21,00:00:39,00:00:03,10,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound offensive,,,,,,Turner REBOUND (Off:1 Def:1)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:18,00:00:42,00:00:03,11,IND,turnover,,,,,,,,,,Myles Turner,,,bad pass ,,Nikola Vucevic,bad pass ,,,,,,"Vucevic STEAL (1 STL), Turner Bad Pass Turnover (P1.T1)"
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:11:09,00:00:51,00:00:09,13,ORL,shot,Nikola Vucevic,,,,,,,,,Jonathan Isaac,3,,,made,,Jump Shot,23,230,32,2.0,8.2,Isaac  3PT Jump Shot (3 PTS) (Vucevic 1 AST)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:52,00:01:08,00:00:17,15,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Pullup Jump Shot,16,36,152,28.6,73.8,MISS Collison 16' Pullup Jump Shot
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:50,00:01:10,00:00:02,16,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:43,00:01:17,00:00:07,17,IND,foul,,,,,,,,Aaron Gordon,,Darren Collison,,,p.foul,,,p.foul,,,,,,Collison P.FOUL (P1.T1) (J.Tiven)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,0,00:10:35,00:01:25,00:00:08,19,ORL,shot,Jonathan Isaac,,,,,,,,,Aaron Gordon,2,,,made,,Fadeaway Jumper,5,24,42,22.6,9.2,Gordon 5' Fadeaway Jumper (2 PTS) (Isaac 1 AST)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,0,00:10:21,00:01:39,00:00:14,21,IND,foul,,,,,,,,Evan Fournier,,Wesley Matthews,,,off.foul,,,off.foul,,,,,,Matthews OFF.Foul (P1) (J.Tiven)
"=""0021800936""",2018-2019 Regular Season,2019-03-02,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,5,0,00:10:21,00:01:39,00:00:00,23,IND,turnover,,,,,,,,,,Wesley Matthews,,,offensive foul turnover,,,offensive foul turnover,,,,,,Matthews Offensive Foul Turnover (P1.T2)
