game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:12:00,00:00:00,00:00:00,4,,jump ball,,Jarrett Allen,Bam Adebayo,,,,,,,Bam Adebayo,,,,,,jump ball,,,,,,Jump Ball Adebayo vs. Allen: Tip to
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:51,00:00:09,00:00:09,7,MIA,foul,,,,,,,,Caris LeVert,,Dion Waiters,,,p.foul,,,p.foul,,,,,,Waiters P.FOUL (P1.T1) (J.Goble)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:44,00:00:16,00:00:07,9,BKN,miss,,,,Bam Adebayo,,,,,,Caris LeVert,0,,,missed,,Jump Shot,5,25,47,22.5,9.7,"MISS LeVert 5' Jump Shot, Adebayo BLOCK (1 BLK)"
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:41,00:00:19,00:00:03,11,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound defensive,,,,,,Adebayo REBOUND (Off:0 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:35,00:00:25,00:00:06,12,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,unknown,2,-12,15,23.8,87.5,MISS Waiters 2' Driving Layup
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:34,00:00:26,00:00:01,13,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,0,00:11:34,00:00:26,00:00:00,14,BKN,foul,,,,,,,,Bam Adebayo,,Jarrett Allen,,,s.foul,,,s.foul,,,,,,Allen S.FOUL (P1.T1) (J.Goble)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,1,00:11:34,00:00:26,00:00:00,16,MIA,free throw,,,,,,,1,,2,Bam Adebayo,1,,,made,,Free Throw 1 of 2,,,,,,Adebayo Free Throw 1 of 2 (1 PTS)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,0,2,00:11:34,00:00:26,00:00:00,17,MIA,free throw,,,,,,,2,,2,Bam Adebayo,1,,,made,,Free Throw 2 of 2,,,,,,Adebayo Free Throw 2 of 2 (2 PTS)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,2,2,00:11:16,00:00:44,00:00:18,18,BKN,shot,D'Angelo Russell,,,,,,,,,Treveon Graham,2,,,made,,Driving Finger Roll Layup,1,12,4,23.8,5.4,Graham 1' Driving Finger Roll Layup (2 PTS) (Russell 1 AST)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,2,5,00:10:59,00:01:01,00:00:17,19,MIA,shot,Bam Adebayo,,,,,,,,,Justise Winslow,3,,,made,,Jump Shot,27,-148,220,10.2,67.0,Winslow 27' 3PT Jump Shot (3 PTS) (Adebayo 1 AST)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,2,5,00:10:47,00:01:13,00:00:12,21,BKN,turnover,,,,,,,,,,Joe Harris,,,traveling ,,,traveling ,,,,,,Harris Traveling Turnover (P1.T1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,2,7,00:10:32,00:01:28,00:00:15,22,MIA,shot,Dion Waiters,,,,,,,,,Bam Adebayo,2,,,made,,Pullup Jump Shot,11,93,53,34.3,83.7,Adebayo 11' Pullup Jump Shot (4 PTS) (Waiters 1 AST)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:10:18,00:01:42,00:00:14,24,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,unknown,10,74,63,17.6,11.3,Russell 10' Driving Floating Jump Shot (2 PTS)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:10:12,00:01:48,00:00:06,25,BKN,foul,,,,,,,,Dion Waiters,,Caris LeVert,,,p.foul,,,p.foul,,,,,,LeVert P.FOUL (P1.T2) (T.Ford)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:10:05,00:01:55,00:00:07,27,MIA,miss,,,,Joe Harris,,,,,,Josh Richardson,0,,,missed,,Pullup Jump Shot,13,3,125,25.3,76.5,"Harris BLOCK (1 BLK), MISS Richardson 13' Pullup Jump Shot"
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:10:00,00:02:00,00:00:05,29,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:2 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:09:55,00:02:05,00:00:05,30,MIA,miss,,,,,,,,,,Bam Adebayo,0,,,missed,,Layup,1,9,1,25.9,88.9,MISS Adebayo 1' Layup
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,7,00:09:52,00:02:08,00:00:03,31,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:3 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,9,00:09:52,00:02:08,00:00:00,32,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,unknown,1,0,-6,25.0,89.6,Adebayo 1' Tip Layup Shot (6 PTS)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,9,00:09:50,00:02:10,00:00:02,33,BKN,miss,,,,,,,,,,Treveon Graham,0,,,missed,,Jump Shot,25,-129,216,37.9,26.6,MISS Graham 25' 3PT Jump Shot
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,9,00:09:47,00:02:13,00:00:03,34,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,9,00:09:38,00:02:22,00:00:09,35,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,Jump Shot,24,-230,57,2.0,83.3,MISS Waiters 24' 3PT Jump Shot
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,4,9,00:09:36,00:02:24,00:00:02,36,BKN,rebound,,,,,,,,,,Joe Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,6,9,00:09:21,00:02:39,00:00:15,37,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,Pullup Jump Shot,14,-47,128,29.7,17.8,Russell 14' Pullup Jump Shot (4 PTS)
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,6,9,00:09:07,00:02:53,00:00:14,38,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Pullup Jump Shot,25,118,215,36.8,67.5,MISS Richardson 25' 3PT Pullup Jump Shot
"=""0021800937""",2018-2019 Regular Season,2019-03-02,Joe Harris,Treveon Graham,Jarrett Allen,Caris LeVert,D'Angelo Russell,Josh Richardson,Kelly Olynyk,Bam Adebayo,Justise Winslow,Dion Waiters,1,6,9,00:09:07,00:02:53,00:00:00,39,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
