game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,DeMarcus Cousins,Jonah Bolden,,,,,,,Jonah Bolden,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Bolden vs. Cousins: Tip to Simmons
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:11:52,00:00:08,00:00:08,7,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Layup,1,3,11,25.3,87.9,MISS Simmons 1' Layup
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:11:51,00:00:09,00:00:01,8,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:11:37,00:00:23,00:00:14,9,GSW,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,12,114,27,13.6,7.7,MISS Cousins 12' Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,0,00:11:33,00:00:27,00:00:04,10,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,2,00:11:25,00:00:35,00:00:08,11,PHI,shot,JJ Redick,,,,,,,,,Jonah Bolden,2,,,made,,Driving Reverse Layup,0,-2,4,24.8,88.6,Bolden  Driving Reverse Layup (2 PTS) (Redick 1 AST)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,2,00:11:25,00:00:35,00:00:00,13,GSW,foul,,,,,,,,Jonah Bolden,,Alfonzo McKinnie,,,s.foul,,,s.foul,,,,,,McKinnie S.FOUL (P1.T1) (K.Scott)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:11:25,00:00:35,00:00:00,15,PHI,free throw,,,,,,,1,,1,Jonah Bolden,1,,,made,,Free Throw 1 of 1,,,,,,Bolden Free Throw 1 of 1 (3 PTS)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:11:10,00:00:50,00:00:15,16,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Pullup Jump Shot,17,-172,28,42.2,7.8,MISS Curry 17' Pullup Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:11:06,00:00:54,00:00:04,17,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:10:59,00:01:01,00:00:07,18,PHI,turnover,,,,,,,,,,Ben Simmons,,,bad pass ,,DeMarcus Cousins,bad pass ,,,,,,"Cousins STEAL (1 STL), Simmons Bad Pass Turnover (P1.T1)"
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:10:50,00:01:10,00:00:09,20,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Pullup Jump Shot,28,-45,278,29.5,32.8,MISS Durant 28' 3PT Pullup Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,3,00:10:46,00:01:14,00:00:04,21,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,0,5,00:10:35,00:01:25,00:00:11,22,PHI,shot,Jimmy Butler,,,,,,,,,JJ Redick,2,,,made,,Pullup Jump Shot,20,179,98,42.9,79.2,Redick 20' Pullup Jump Shot (2 PTS) (Butler 1 AST)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,5,00:10:19,00:01:41,00:00:16,24,GSW,shot,Draymond Green,,,,,,,,,Stephen Curry,3,,,made,,Jump Shot,26,206,165,4.4,21.5,Curry 26' 3PT Jump Shot (3 PTS) (Green 1 AST)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:57,00:02:03,00:00:22,26,PHI,shot,Jonah Bolden,,,,,,,,,Tobias Harris,3,,,made,,Jump Shot,25,-38,243,21.2,64.7,Harris 25' 3PT Jump Shot (3 PTS) (Bolden 1 AST)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:46,00:02:14,00:00:11,28,GSW,miss,,,,Jonah Bolden,,,,,,DeMarcus Cousins,0,,,missed,,Hook Shot,3,2,29,24.8,7.9,"MISS Cousins 3' Hook Shot, Bolden BLOCK (1 BLK)"
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:43,00:02:17,00:00:03,30,PHI,rebound,,,,,,,,,,Jonah Bolden,,,,,,rebound defensive,,,,,,Bolden REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:38,00:02:22,00:00:05,31,PHI,turnover,,,,,,,,,,Ben Simmons,,,bad pass ,,Stephen Curry,bad pass ,,,,,,"Curry STEAL (1 STL), Simmons Bad Pass Turnover (P2.T2)"
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:33,00:02:27,00:00:05,33,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,unknown,7,-1,65,25.1,11.5,MISS Curry 7' Driving Floating Bank Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:31,00:02:29,00:00:02,34,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:2)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:27,00:02:33,00:00:04,35,PHI,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,27,130,236,38.0,65.4,MISS Harris 27' 3PT Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:24,00:02:36,00:00:03,36,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,3,8,00:09:21,00:02:39,00:00:03,37,PHI,foul,,,,,,,,Kevin Durant,,JJ Redick,,,s.foul,,,s.foul,,,,,,Redick S.FOUL (P1.T1) (N.Buchert)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,4,8,00:09:21,00:02:39,00:00:00,39,GSW,free throw,,,,,,,1,,2,Kevin Durant,1,,,made,,Free Throw 1 of 2,,,,,,Durant Free Throw 1 of 2 (1 PTS)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,8,00:09:21,00:02:39,00:00:00,40,GSW,free throw,,,,,,,2,,2,Kevin Durant,1,,,made,,Free Throw 2 of 2,,,,,,Durant Free Throw 2 of 2 (2 PTS)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,8,00:09:06,00:02:54,00:00:15,41,GSW,foul,,,,,,,,JJ Redick,,Stephen Curry,,,s.foul,,,s.foul,,,,,,Curry S.FOUL (P1.T2) (Z.Zarba)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,9,00:09:06,00:02:54,00:00:00,43,PHI,free throw,,,,,,,1,,2,JJ Redick,1,,,made,,Free Throw 1 of 2,,,,,,Redick Free Throw 1 of 2 (3 PTS)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,10,00:09:06,00:02:54,00:00:00,44,PHI,free throw,,,,,,,2,,2,JJ Redick,1,,,made,,Free Throw 2 of 2,,,,,,Redick Free Throw 2 of 2 (4 PTS)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,10,00:08:56,00:03:04,00:00:10,45,GSW,turnover,,,,,,,,,,Draymond Green,,,bad pass ,,Ben Simmons,bad pass ,,,,,,"Green Bad Pass Turnover (P1.T1), Simmons STEAL (1 STL)"
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,12,00:08:51,00:03:09,00:00:05,47,PHI,shot,Ben Simmons,,,,,,,,,Tobias Harris,2,,,made,,Running Layup,1,11,4,26.1,88.6,Harris 1' Running Layup (5 PTS) (Simmons 1 AST)
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,12,00:08:38,00:03:22,00:00:13,49,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Step Back Jump Shot,27,-116,243,36.6,29.3,MISS Curry 27' 3PT Step Back Jump Shot
"=""0021800938""",2018-2019 Regular Season,2019-03-02,Draymond Green,Kevin Durant,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,1,5,12,00:08:35,00:03:25,00:00:03,50,PHI,rebound,,,,,,,,,,JJ Redick,,,,,,rebound defensive,,,,,,Redick REBOUND (Off:0 Def:1)
