game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Jahlil Okafor,Nikola Jokic,,,,,,,Nikola Jokic,,Paul Millsap,,,,jump ball,,,,,,Jump Ball Jokic vs. Okafor: Tip to Millsap
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:43,00:00:17,00:00:17,7,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,Jump Shot,12,-122,20,12.8,87.0,Murray 12' Jump Shot (2 PTS) (Jokic 1 AST)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,2,00:11:27,00:00:33,00:00:16,9,NOP,shot,,,,,,,,,,Jrue Holiday,3,,,made,,Pullup Jump Shot,24,-220,88,47.0,13.8,Holiday 24' 3PT Pullup Jump Shot (3 PTS)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,2,00:11:16,00:00:44,00:00:11,10,NOP,foul,,,,,,,,Will Barton,,Kenrich Williams,,,p.foul,,,p.foul,,,,,,Williams P.FOUL (P1.T1) (T.Washington)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:11:07,00:00:53,00:00:09,12,DEN,shot,Gary Harris,,,,,,,,,Nikola Jokic,2,,,made,,Layup,1,-11,6,23.9,88.4,Jokic 1' Layup (2 PTS) (Harris 1 AST)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:47,00:01:13,00:00:20,14,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Step Back Jump Shot,24,130,203,12.0,25.3,MISS Holiday 24' 3PT Step Back Jump Shot
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:45,00:01:15,00:00:02,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pelicans Rebound
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:42,00:01:18,00:00:03,17,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Step Back Jump Shot,23,-228,25,47.8,7.5,MISS Randle  3PT Step Back Jump Shot
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:39,00:01:21,00:00:03,18,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:36,00:01:24,00:00:03,19,DEN,violation,,,,,,,,,,Gary Harris,,,,,,violation:kicked ball,,,,,,Harris Violation:Kicked Ball (T.Brown)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:29,00:01:31,00:00:07,20,NOP,turnover,,,,,,,,,,Jrue Holiday,,,bad pass ,,Nikola Jokic,bad pass ,,,,,,"Holiday Bad Pass Turnover (P1.T1), Jokic STEAL (1 STL)"
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:26,00:01:34,00:00:03,22,DEN,miss,,,,Julius Randle,,,,,,Jamal Murray,0,,,missed,,Running Layup,4,35,25,28.5,86.5,"Randle BLOCK (1 BLK), MISS Murray 4' Running Layup"
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:10:26,00:01:34,00:00:00,24,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,NUGGETS Rebound
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,6,00:10:24,00:01:36,00:00:02,26,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,Jump Shot,16,138,80,38.8,81.0,Murray 16' Jump Shot (4 PTS) (Jokic 2 AST)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,6,00:10:06,00:01:54,00:00:18,28,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,unknown,8,14,80,23.6,13.0,MISS Randle 8' Driving Floating Jump Shot
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,6,00:10:05,00:01:55,00:00:01,29,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800941""",2018-2019 Regular Season,2019-03-02,Kenrich Williams,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,3,9,00:10:00,00:02:00,00:00:05,30,DEN,shot,Nikola Jokic,,,,,,,,,Will Barton,3,,,made,,Pullup Jump Shot,25,158,191,40.8,69.9,Barton 25' 3PT Pullup Jump Shot (3 PTS) (Jokic 3 AST)
