game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Brandon Ingram,Deandre Ayton,,,,,,,Deandre Ayton,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Ayton vs. Ingram: Tip to Rondo
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,3,0,00:11:42,00:00:18,00:00:18,7,LAL,shot,LeBron James,,,,,,,,,Reggie Bullock,3,,,made,,Jump Shot,23,-228,-15,47.8,3.5,Bullock  3PT Jump Shot (3 PTS) (James 1 AST)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,3,2,00:11:21,00:00:39,00:00:21,9,PHX,shot,,,,,,,,,,Deandre Ayton,2,,,made,,Turnaround Jump Shot,9,-76,55,17.4,83.5,Ayton 9' Turnaround Jump Shot (2 PTS)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,3,2,00:11:02,00:00:58,00:00:19,10,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Turnaround Fadeaway ,10,-98,20,34.8,7.0,MISS Ingram 10' Turnaround Fadeaway Shot
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,3,2,00:11:00,00:01:00,00:00:02,11,PHX,rebound,,,,,,,,,,Kelly Oubre Jr.,,,,,,rebound defensive,,,,,,Oubre Jr. REBOUND (Off:0 Def:1)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,3,4,00:10:46,00:01:14,00:00:14,12,PHX,shot,,,,,,,,,,Deandre Ayton,2,,,made,,Jump Shot,14,117,70,36.7,82.0,Ayton 14' Jump Shot (4 PTS)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,5,4,00:10:33,00:01:27,00:00:13,13,LAL,shot,Reggie Bullock,,,,,,,,,LeBron James,2,,,made,,unknown,1,5,1,24.5,5.1,James 1' Cutting Dunk Shot (2 PTS) (Bullock 1 AST)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,5,4,00:10:13,00:01:47,00:00:20,15,LAL,foul,,,,,,,,,,Reggie Bullock,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,Lakers T.Foul (Def. 3 Sec Bullock ) (E.Dalen)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,5,5,00:10:13,00:01:47,00:00:00,16,PHX,free throw,,,,,,,1,,1,Devin Booker,1,,,made,,Free Throw Technical,,,,,,Booker Free Throw Technical (1 PTS)
"=""0021800942""",2018-2019 Regular Season,2019-03-02,Brandon Ingram,LeBron James,Kyle Kuzma,Reggie Bullock,Rajon Rondo,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,Tyler Johnson,1,5,5,00:10:02,00:01:58,00:00:11,17,PHX,turnover,,,,,,,,,,Devin Booker,,,,,,unknown,,,,,,Booker Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
