game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Robin Lopez,,,,,,,Robin Lopez,,Trae Young,,,,jump ball,,,,,,Jump Ball Lopez vs. Dedmon: Tip to Young
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:35,00:00:25,00:00:25,8,ATL,shot,Kevin Huerter,,,,,,,,,Alex Len,3,,,made,,Jump Shot,25,201,152,4.9,20.2,Len 25' 3PT Jump Shot (3 PTS) (Huerter 1 AST)
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:12,00:00:48,00:00:23,10,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,-158,192,9.2,69.8,MISS Markkanen 25' 3PT Jump Shot
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:07,00:00:53,00:00:05,11,ATL,rebound,,,,,,,,,,Kent Bazemore,,,,,,rebound defensive,,,,,,Bazemore REBOUND (Off:0 Def:1)
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:00,00:01:00,00:00:07,12,ATL,miss,,,,,,,,,,Alex Len,0,,,missed,,unknown,1,5,-1,24.5,4.9,MISS Len 1' Cutting Layup Shot
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:10:58,00:01:02,00:00:02,13,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,3,00:10:53,00:01:07,00:00:05,14,CHI,shot,Zach LaVine,,,,,,,,,Timothe Luwawu-Cabarrot,3,,,made,,Jump Shot,25,145,209,39.5,68.1,Luwawu-Cabarrot 25' 3PT Jump Shot (3 PTS) (LaVine 1 AST)
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,3,00:10:32,00:01:28,00:00:21,16,ATL,shot,Dewayne Dedmon,,,,,,,,,Alex Len,2,,,made,,Turnaround Hook Shot,5,-11,50,26.1,10.0,Len 5' Turnaround Hook Shot (5 PTS) (Dedmon 1 AST)
"=""0021800946""",2018-2019 Regular Season,2019-03-03,Kent Bazemore,Dewayne Dedmon,Alex Len,Kevin Huerter,Trae Young,Timothe Luwawu-Cabarrot,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,3,00:10:14,00:01:46,00:00:18,18,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Jump Shot,21,-139,159,11.1,73.1,MISS LaVine 21' Jump Shot
