game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Karl-Anthony Towns,Bobby Portis,,,,,,,Bobby Portis,,Jeff Green,,,,jump ball,,,,,,Jump Ball Portis vs. Towns: Tip to Green
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:46,00:00:14,00:00:14,7,WAS,turnover,,,,,,,,,,Tomas Satoransky,,,,,,unknown,,,,,,Satoransky Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:42,00:00:18,00:00:04,8,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,unknown,9,-48,77,29.8,12.7,MISS Teague 9' Driving Floating Jump Shot
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:39,00:00:21,00:00:03,9,WAS,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,2,00:11:33,00:00:27,00:00:06,10,WAS,shot,,,,,,,,,,Tomas Satoransky,2,,,made,,unknown,1,11,6,26.1,88.4,Satoransky 1' Driving Layup (2 PTS)
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,2,00:11:10,00:00:50,00:00:23,11,MIN,shot,Karl-Anthony Towns,,,,,,,,,Dario Saric,2,,,made,,Reverse Layup,2,8,21,24.2,7.1,Saric 2' Reverse Layup (2 PTS) (Towns 1 AST)
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,5,00:10:57,00:01:03,00:00:13,13,WAS,shot,,,,,,,,,,Trevor Ariza,3,,,made,,Pullup Jump Shot,26,-134,218,11.6,67.2,Ariza 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,5,00:10:38,00:01:22,00:00:19,14,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Hook Shot,6,-32,56,28.2,10.6,MISS Wiggins 6' Hook Shot
"=""0021800950""",2018-2019 Regular Season,2019-03-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,5,00:10:35,00:01:25,00:00:03,15,WAS,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
