game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Nikola Jokic,Jakob Poeltl,,,,,,,Jakob Poeltl,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Poeltl vs. Jokic: Tip to Murray
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:39,00:00:21,00:00:21,7,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Jump Shot,25,-187,173,43.7,22.3,MISS Murray 25' 3PT Jump Shot
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:35,00:00:25,00:00:04,8,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:17,00:00:43,00:00:18,9,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Jump Shot,17,-157,71,9.3,81.9,MISS Aldridge 17' Turnaround Jump Shot
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:13,00:00:47,00:00:04,10,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound offensive,,,,,,White REBOUND (Off:1 Def:0)
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,3,00:11:06,00:00:54,00:00:07,11,SAS,shot,Derrick White,,,,,,,,,LaMarcus Aldridge,3,,,made,,Jump Shot,28,-33,277,21.7,61.3,Aldridge 28' 3PT Jump Shot (3 PTS) (White 1 AST)
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,3,00:10:51,00:01:09,00:00:15,13,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,27,157,215,9.3,26.5,MISS Millsap 27' 3PT Jump Shot
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,3,00:10:48,00:01:12,00:00:03,14,SAS,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021800954""",2018-2019 Regular Season,2019-03-04,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,5,00:10:42,00:01:18,00:00:06,15,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Driving Reverse Layup,3,22,12,27.2,87.8,DeRozan 3' Driving Reverse Layup (2 PTS)
