game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Anthony Davis,Rudy Gobert,,,,,,,Rudy Gobert,,Donovan Mitchell,,,,jump ball,,,,,,Jump Ball Gobert vs. Davis: Tip to Mitchell
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:54,00:00:06,00:00:06,7,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,Floating Jump Shot,9,-61,64,18.9,82.6,Mitchell 9' Floating Jump Shot (2 PTS)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:36,00:00:24,00:00:18,8,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Step Back Jump Shot,18,-84,162,33.4,21.2,MISS Randle 18' Step Back Jump Shot
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:33,00:00:27,00:00:03,9,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:19,00:00:41,00:00:14,10,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,23,225,23,47.5,86.7,Ingles  3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:03,00:00:57,00:00:16,12,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,Jump Shot,24,229,72,2.1,12.2,MISS Williams 24' 3PT Jump Shot
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:11:00,00:01:00,00:00:03,13,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:2)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:48,00:01:12,00:00:12,14,UTA,miss,,,,Anthony Davis,,,,,,Derrick Favors,0,,,missed,,Jump Shot,8,74,17,32.4,87.3,"Davis BLOCK (1 BLK), MISS Favors 8' Jump Shot"
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:46,00:01:14,00:00:02,16,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:44,00:01:16,00:00:02,17,UTA,violation,,,,,,,,,,Derrick Favors,,,,,,violation:kicked ball,,,,,,Favors Violation:Kicked Ball (J.Orr)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:29,00:01:31,00:00:15,19,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Floating Jump Shot,9,39,77,21.1,12.7,MISS Payton 9' Floating Jump Shot
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:27,00:01:33,00:00:02,20,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:3)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:16,00:01:44,00:00:11,21,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,166,190,41.6,70.0,MISS Ingles 25' 3PT Jump Shot
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,5,00:10:13,00:01:47,00:00:03,22,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:2)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,5,00:10:05,00:01:55,00:00:08,23,NOP,shot,Julius Randle,,,,,,,,,Anthony Davis,2,,,made,,Step Back Jump Shot,17,14,168,23.6,21.8,Davis 17' Step Back Jump Shot (2 PTS) (Randle 1 AST)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,7,00:09:41,00:02:19,00:00:24,25,UTA,shot,Donovan Mitchell,,,,,,,,,Rudy Gobert,2,,,made,,Layup,1,-2,13,24.8,87.7,Gobert 1' Layup (2 PTS) (Mitchell 1 AST)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,7,00:09:17,00:02:43,00:00:24,28,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Jump Shot,29,71,284,17.9,33.4,MISS Holiday 29' 3PT Jump Shot
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,7,00:09:14,00:02:46,00:00:03,29,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:4)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,9,00:09:05,00:02:55,00:00:09,30,UTA,shot,Donovan Mitchell,,,,,,,,,Rudy Gobert,2,,,made,,Dunk,2,-18,11,23.2,87.9,Gobert 2' Dunk (4 PTS) (Mitchell 2 AST)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,9,00:08:59,00:03:01,00:00:06,32,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Pelicans Timeout: Regular (Reg.1 Short 0)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,9,00:08:52,00:03:08,00:00:07,33,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,unknown,3,-25,16,27.5,6.6,MISS Davis 3' Driving Layup
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,9,00:08:51,00:03:09,00:00:01,34,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,11,00:08:43,00:03:17,00:00:08,35,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,13,89,101,33.9,78.9,Mitchell 13' Driving Floating Bank Jump Shot (4 PTS)
"=""0021800956""",2018-2019 Regular Season,2019-03-04,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,11,00:08:43,00:03:17,00:00:00,36,NOP,foul,,,,,,,,Donovan Mitchell,,Kenrich Williams,,,s.foul,,,s.foul,,,,,,Williams S.FOUL (P1.T1) (K.Fitzgerald)
