game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Nurkic: Tip to Harkless
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,2,0,00:11:41,00:00:19,00:00:19,7,POR,shot,Jusuf Nurkic,,,,,,,,,Maurice Harkless,2,,,made,,unknown,2,-15,-1,26.5,4.9,Harkless 2' Turnaround Fadeaway Bank Jump Shot (2 PTS) (Nurkic 1 AST)
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,2,0,00:11:18,00:00:42,00:00:23,9,MEM,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,25,158,199,40.8,69.1,MISS Bradley 25' 3PT Jump Shot
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,2,0,00:11:14,00:00:46,00:00:04,10,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,4,0,00:11:07,00:00:53,00:00:07,11,POR,shot,Maurice Harkless,,,,,,,,,Jusuf Nurkic,2,,,made,,Turnaround Bank Hook Shot,1,-8,9,25.8,5.9,Nurkic 1' Turnaround Bank Hook Shot (2 PTS) (Harkless 1 AST)
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,4,0,00:10:49,00:01:11,00:00:18,13,MEM,miss,,,,,,,,,,Jonas Valanciunas,0,,,missed,,Step Back Jump Shot,7,73,5,32.3,88.5,MISS Valanciunas 7' Step Back Jump Shot
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,4,0,00:10:46,00:01:14,00:00:03,14,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,4,0,00:10:39,00:01:21,00:00:07,15,MEM,foul,,,,,,,,CJ McCollum,,Mike Conley,,,p.foul,,,p.foul,,,,,,Conley P.FOUL (P1.T1) (M.Smith)
"=""0021800962""",2018-2019 Regular Season,2019-03-05,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Avery Bradley,Mike Conley,1,6,0,00:10:36,00:01:24,00:00:03,17,POR,shot,Damian Lillard,,,,,,,,,Maurice Harkless,2,,,made,,Dunk,1,2,11,24.8,6.1,Harkless 1' Dunk (4 PTS) (Lillard 1 AST)
