game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,22,OKC,violation,,,,,,,,,,Steven Adams,,,,,,violation:jump ball,,,,,,Adams Violation:Jump Ball (.)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Steven Adams,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Karl-Anthony Towns,,,,jump ball,,,,,,Jump Ball Towns vs. Adams: Tip to Towns
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:40,00:00:20,00:00:20,7,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,8,56,61,30.6,82.9,MISS Towns 8' Jump Shot
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:37,00:00:23,00:00:03,8,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:28,00:00:32,00:00:09,9,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Jump Shot,17,-41,168,29.1,21.8,MISS Grant 17' Jump Shot
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,0,0,00:11:24,00:00:36,00:00:04,10,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,2,0,00:11:15,00:00:45,00:00:09,11,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,Layup,1,-3,7,25.3,5.7,Adams 1' Layup (2 PTS)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,2,3,00:10:54,00:01:06,00:00:21,12,MIN,shot,Jeff Teague,,,,,,,,,Andrew Wiggins,3,,,made,,Jump Shot,25,165,182,41.5,70.8,Wiggins 25' 3PT Jump Shot (3 PTS) (Teague 1 AST)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,2,3,00:10:40,00:01:20,00:00:14,14,MIN,foul,,,,,,,,Jerami Grant,,Karl-Anthony Towns,,,s.foul,,,s.foul,,,,,,Towns S.FOUL (P1.T1) (J.Tiven)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:40,00:01:20,00:00:00,16,OKC,free throw,,,,,,,1,,2,Jerami Grant,1,,,made,,Free Throw 1 of 2,,,,,,Grant Free Throw 1 of 2 (1 PTS)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:40,00:01:20,00:00:00,18,OKC,free throw,,,,,,,2,,2,Jerami Grant,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Grant Free Throw 2 of 2
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:40,00:01:20,00:00:00,19,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:1)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:26,00:01:34,00:00:14,20,OKC,foul,,,,,,,,Dario Saric,,Paul George,,,p.foul,,,p.foul,,,,,,George P.FOUL (P1.T1) (J.Tiven)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:21,00:01:39,00:00:05,23,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,27,70,260,32.0,63.0,MISS Wiggins 27' 3PT Jump Shot
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:19,00:01:41,00:00:02,24,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:12,00:01:48,00:00:07,25,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,unknown,1,5,6,24.5,5.6,MISS Westbrook 1' Driving Layup
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,3,00:10:10,00:01:50,00:00:02,26,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:2)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,6,00:10:04,00:01:56,00:00:06,27,MIN,shot,Jeff Teague,,,,,,,,,Dario Saric,3,,,made,,Jump Shot,26,148,218,39.8,67.2,Saric 26' 3PT Jump Shot (3 PTS) (Teague 2 AST)
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,6,00:09:50,00:02:10,00:00:14,29,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Floating Jump Shot,11,101,50,14.9,10.0,MISS George 11' Floating Jump Shot
"=""0021800963""",2018-2019 Regular Season,2019-03-05,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Jeff Teague,1,3,6,00:09:47,00:02:13,00:00:03,30,MIN,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
