game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Al Horford,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Marcus Morris,,,,jump ball,,,,,,Jump Ball Cousins vs. Horford: Tip to Morris
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,2,0,00:11:43,00:00:17,00:00:17,7,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,Step Back Jump Shot,17,-166,29,41.6,7.9,Irving 17' Step Back Jump Shot (2 PTS)
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,2,0,00:11:27,00:00:33,00:00:16,9,BOS,foul,,,,,,,,Kevin Durant,,Marcus Morris,,,p.foul,,,p.foul,,,,,,Morris P.FOUL (P1.T1) (M.Lindsay)
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,2,0,00:11:16,00:00:44,00:00:11,11,GSW,miss,,,,,,,,,,Alfonzo McKinnie,0,,,missed,,Jump Shot,23,228,1,47.8,88.9,MISS McKinnie  3PT Jump Shot
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,2,0,00:11:14,00:00:46,00:00:02,12,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,2,0,00:11:06,00:00:54,00:00:08,13,GSW,foul,,,,,,,,Marcus Smart,,Stephen Curry,,,p.foul,,,p.foul,,,,,,Curry P.FOUL (P1.T1) (M.Lindsay)
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,4,0,00:10:55,00:01:05,00:00:11,15,BOS,shot,Al Horford,,,,,,,,,Marcus Morris,2,,,made,,Reverse Layup,2,14,16,23.6,6.6,Morris 2' Reverse Layup (2 PTS) (Horford 1 AST)
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,4,0,00:10:34,00:01:26,00:00:21,17,GSW,turnover,,,,,,,,,,DeMarcus Cousins,,,bad pass ,,Jayson Tatum,bad pass ,,,,,,"Tatum STEAL (1 STL), Cousins Bad Pass Turnover (P1.T1)"
"=""0021800964""",2018-2019 Regular Season,2019-03-05,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Kevin Durant,Draymond Green,DeMarcus Cousins,Alfonzo McKinnie,Stephen Curry,1,4,0,00:10:25,00:01:35,00:00:09,19,BOS,miss,,,,Draymond Green,,,,,,Jayson Tatum,0,,,missed,,Layup,3,-22,13,27.2,6.3,"MISS Tatum 3' Layup, Green BLOCK (1 BLK)"
