game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Bam Adebayo,Cody Zeller,,,,,,,Cody Zeller,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Zeller vs. Adebayo: Tip to Olynyk
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,0,00:11:44,00:00:16,00:00:16,7,MIA,shot,Dion Waiters,,,,,,,,,Justise Winslow,3,,,made,,Jump Shot,24,239,19,1.1,6.9,Winslow 24' 3PT Jump Shot (3 PTS) (Waiters 1 AST)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,3,00:11:28,00:00:32,00:00:16,9,CHA,shot,Kemba Walker,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,23,230,10,48.0,88.0,Williams  3PT Jump Shot (3 PTS) (Walker 1 AST)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,3,00:11:08,00:00:52,00:00:20,11,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,Pullup Jump Shot,14,-26,142,27.6,19.2,MISS Waiters 14' Pullup Jump Shot
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,3,00:11:05,00:00:55,00:00:03,12,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:11:01,00:00:59,00:00:04,13,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,unknown,12,112,33,36.2,85.7,Walker 12' Driving Floating Bank Jump Shot (2 PTS)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:46,00:01:14,00:00:15,14,MIA,miss,,,,,,,,,,Justise Winslow,0,,,missed,,Pullup Jump Shot,12,-74,98,32.4,14.8,MISS Winslow 12' Pullup Jump Shot
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:42,00:01:18,00:00:04,15,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:36,00:01:24,00:00:06,16,CHA,turnover,,,,,,,,,,Kemba Walker,,,bad pass ,,Bam Adebayo,bad pass ,,,,,,"Adebayo STEAL (1 STL), Walker Bad Pass Turnover (P1.T1)"
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:27,00:01:33,00:00:09,18,MIA,turnover,,,,,,,,,,Bam Adebayo,,,traveling ,,,traveling ,,,,,,Adebayo Traveling Turnover (P1.T1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:15,00:01:45,00:00:12,19,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Fadeaway Jumper,8,4,80,25.4,81.0,MISS Bridges 8' Fadeaway Jumper
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,3,5,00:10:11,00:01:49,00:00:04,20,MIA,rebound,,,,,,,,,,Dion Waiters,,,,,,rebound defensive,,,,,,Waiters REBOUND (Off:0 Def:1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,5,00:09:56,00:02:04,00:00:15,21,MIA,shot,Josh Richardson,,,,,,,,,Dion Waiters,3,,,made,,Jump Shot,24,232,58,1.8,10.8,Waiters 24' 3PT Jump Shot (3 PTS) (Richardson 1 AST)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,8,00:09:39,00:02:21,00:00:17,23,CHA,shot,Marvin Williams,,,,,,,,,Nicolas Batum,3,,,made,,Jump Shot,25,205,139,45.5,75.1,Batum 25' 3PT Jump Shot (3 PTS) (Williams 1 AST)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,8,00:09:13,00:02:47,00:00:26,25,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,Jump Shot,25,29,247,22.1,29.7,MISS Waiters 25' 3PT Jump Shot
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,8,00:09:09,00:02:51,00:00:04,26,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,8,00:08:54,00:03:06,00:00:15,27,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Jump Shot,22,223,20,47.3,87.0,MISS Bridges  3PT Jump Shot
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,6,8,00:08:49,00:03:11,00:00:05,28,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,8,8,00:08:44,00:03:16,00:00:05,29,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,Running Layup,2,12,16,23.8,6.6,Adebayo 2' Running Layup (2 PTS)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,8,8,00:08:30,00:03:30,00:00:14,30,MIA,foul,,,,,,,,Kemba Walker,,Justise Winslow,,,p.foul,,,p.foul,,,,,,Winslow P.FOUL (P1.T1) (B.Taylor)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,8,8,00:08:15,00:03:45,00:00:15,32,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,HORNETS Turnover: Shot Clock (T#2)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,8,8,00:07:59,00:04:01,00:00:16,34,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,unknown,2,14,19,23.6,6.9,MISS Waiters 2' Driving Layup
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,8,8,00:07:52,00:04:08,00:00:07,35,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:0)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,8,00:07:52,00:04:08,00:00:00,36,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,Putback Dunk,1,0,-6,25.0,4.4,Adebayo 1' Putback Dunk (4 PTS)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,10,00:07:43,00:04:17,00:00:09,37,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Step Back Jump Shot,18,30,178,28.0,71.2,Walker 18' Step Back Jump Shot (4 PTS)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,10,00:07:30,00:04:30,00:00:13,38,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,27,-63,264,31.3,31.4,MISS Richardson 27' 3PT Jump Shot
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,10,00:07:26,00:04:34,00:00:04,39,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:2)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,10,00:07:20,00:04:40,00:00:06,40,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Layup,4,3,42,25.3,84.8,MISS Williams 4' Layup
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,10,10,00:07:19,00:04:41,00:00:01,41,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HORNETS Rebound
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:19,00:04:41,00:00:00,43,CHA,sub,,,,,Jeremy Lamb,Miles Bridges,,,,Miles Bridges,,,,,,sub,,,,,,SUB: Lamb FOR Bridges
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:14,00:04:46,00:00:05,45,CHA,foul,,,,,,,,Josh Richardson,,Marvin Williams,,,off.foul,,,off.foul,,,,,,Williams OFF.Foul (P1) (B.Taylor)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:14,00:04:46,00:00:00,47,CHA,turnover,,,,,,,,,,Marvin Williams,,,offensive foul turnover,,,offensive foul turnover,,,,,,Williams Offensive Foul Turnover (P1.T3)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:10,00:04:50,00:00:04,48,CHA,foul,,,,,,,,Justise Winslow,,Nicolas Batum,,,p.foul,,,p.foul,,,,,,Batum P.FOUL (P1.T1) (J.Phillips)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:07,00:04:53,00:00:03,50,MIA,turnover,,,,,,,,,,Kelly Olynyk,,,,,,unknown,,,,,,Olynyk Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:07:07,00:04:53,00:00:00,51,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,HORNETS Timeout: Regular (Full 1 Short 0)
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,10,10,00:06:49,00:05:11,00:00:18,52,CHA,turnover,,,,,,,,,,Nicolas Batum,,,bad pass ,,Justise Winslow,bad pass ,,,,,,"Winslow STEAL (1 STL), Batum Bad Pass Turnover (P1.T4)"
"=""0021800965""",2018-2019 Regular Season,2019-03-06,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Jeremy Lamb,1,12,10,00:06:34,00:05:26,00:00:15,54,MIA,shot,Justise Winslow,,,,,,,,,Bam Adebayo,2,,,made,,Layup,5,-33,43,28.3,9.3,Adebayo 5' Layup (6 PTS) (Winslow 1 AST)
