game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Larry Nance Jr.,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Nance Jr.: Tip to Russell
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,2,00:11:49,00:00:11,00:00:11,7,BKN,shot,D'Angelo Russell,,,,,,,,,Rodions Kurucs,2,,,made,,unknown,1,9,3,25.9,88.7,Kurucs 1' Cutting Dunk Shot (2 PTS) (Russell 1 AST)
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,2,00:11:32,00:00:28,00:00:17,9,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Fadeaway Jumper,12,-107,64,35.7,11.4,MISS Love 12' Fadeaway Jumper
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,0,2,00:11:26,00:00:34,00:00:06,10,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound offensive,,,,,,Nance Jr. REBOUND (Off:1 Def:0)
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:25,00:00:35,00:00:01,11,CLE,shot,Larry Nance Jr.,,,,,,,,,Cedi Osman,3,,,made,,Jump Shot,25,67,241,18.3,29.1,Osman 25' 3PT Jump Shot (3 PTS) (Nance Jr. 1 AST)
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:13,00:00:47,00:00:12,13,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Pullup Jump Shot,18,82,156,33.2,73.4,MISS Russell 18' Pullup Jump Shot
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:10,00:00:50,00:00:03,14,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:03,00:00:57,00:00:07,15,BKN,foul,,,,,,,,Collin Sexton,,D'Angelo Russell,,,s.foul,,,s.foul,,,,,,Russell S.FOUL (P1.T1) (M.Callahan)
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:03,00:00:57,00:00:00,17,CLE,free throw,,,,,,,1,,2,Collin Sexton,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Sexton Free Throw 1 of 2
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:03,00:00:57,00:00:00,18,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Cavaliers Rebound
"=""0021800969""",2018-2019 Regular Season,2019-03-06,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,1,3,2,00:11:03,00:00:57,00:00:00,19,CLE,free throw,,,,,,,2,,2,Collin Sexton,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Sexton Free Throw 2 of 2
