game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Amir Johnson,Robin Lopez,,,,,,,Robin Lopez,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Lopez vs. Johnson: Tip to Simmons
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:54,00:00:06,00:00:06,7,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,26,-99,239,34.9,28.9,MISS Redick 26' 3PT Jump Shot
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:50,00:00:10,00:00:04,8,CHI,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:36,00:00:24,00:00:14,9,CHI,miss,,,,,,,,,,Robin Lopez,0,,,missed,,Driving Hook Shot,5,-31,34,21.9,85.6,MISS Lopez 5' Driving Hook Shot
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:34,00:00:26,00:00:02,10,PHI,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:22,00:00:38,00:00:12,11,PHI,turnover,,,,,,,,,,Tobias Harris,,,bad pass ,,Otto Porter Jr.,bad pass ,,,,,,"Harris Bad Pass Turnover (P1.T1), Porter Jr. STEAL (1 STL)"
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:15,00:00:45,00:00:07,13,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Driving Hook Shot,6,-9,58,24.1,83.2,MISS Markkanen 6' Driving Hook Shot
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:13,00:00:47,00:00:02,14,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:10,00:00:50,00:00:03,15,CHI,foul,,,,,,,,Ben Simmons,,Lauri Markkanen,,,p.foul,,,p.foul,,,,,,Markkanen P.FOUL (P1.T1) (C.Kirkland)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:11:03,00:00:57,00:00:07,17,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Hook Shot,6,-30,53,28.0,10.3,MISS Simmons 6' Hook Shot
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:10:57,00:01:03,00:00:06,18,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound offensive,,,,,,Simmons REBOUND (Off:1 Def:0)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:10:57,00:01:03,00:00:00,19,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,unknown,1,0,-6,25.0,4.4,Simmons 1' Tip Layup Shot (2 PTS)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:10:46,00:01:14,00:00:11,20,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Pullup Jump Shot,7,-60,29,19.0,86.1,MISS LaVine 7' Pullup Jump Shot
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:10:43,00:01:17,00:00:03,21,PHI,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:2)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,4,0,00:10:30,00:01:30,00:00:13,22,PHI,shot,JJ Redick,,,,,,,,,Jimmy Butler,2,,,made,,unknown,2,16,5,23.4,5.5,Butler 2' Driving Floating Jump Shot (2 PTS) (Redick 1 AST)
"=""0021800970""",2018-2019 Regular Season,2019-03-06,Jimmy Butler,Tobias Harris,Amir Johnson,JJ Redick,Ben Simmons,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,4,0,00:10:30,00:01:30,00:00:00,24,CHI,foul,,,,,,,,Jimmy Butler,,Kris Dunn,,,s.foul,,,s.foul,,,,,,Dunn S.FOUL (P1.T2) (J.DeRosa)
