game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Anthony Davis,,,,,,,Anthony Davis,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Davis vs. Gobert: Tip to Favors
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,0,0,00:11:44,00:00:16,00:00:16,7,UTA,turnover,,,,,,,,,,Rudy Gobert,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Gobert Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,0,0,00:11:29,00:00:31,00:00:15,8,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Floating Jump Shot,10,-24,99,22.6,79.1,MISS Randle 10' Floating Jump Shot
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,0,0,00:11:26,00:00:34,00:00:03,9,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,2,0,00:11:16,00:00:44,00:00:10,10,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,1,6,-1,24.4,4.9,Mitchell 1' Driving Layup (2 PTS)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,2,2,00:11:04,00:00:56,00:00:12,11,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Pullup Jump Shot,11,-14,108,23.6,78.2,Holiday 11' Pullup Jump Shot (2 PTS)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,2,00:10:48,00:01:12,00:00:16,12,UTA,shot,Ricky Rubio,,,,,,,,,Derrick Favors,3,,,made,,Jump Shot,23,-230,-16,48.0,3.4,Favors  3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,4,00:10:35,00:01:25,00:00:13,14,NOP,shot,,,,,,,,,,Julius Randle,2,,,made,,unknown,2,-16,3,23.4,88.7,Randle 2' Driving Layup (2 PTS)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,4,00:10:22,00:01:38,00:00:13,21,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Layup,4,16,37,23.4,8.7,MISS Mitchell 4' Layup
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,4,00:10:22,00:01:38,00:00:00,22,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,4,00:10:10,00:01:50,00:00:12,18,UTA,foul,,,,,,,,Anthony Davis,,Rudy Gobert,,,s.foul,,,s.foul,,,,,,Gobert S.FOUL (P1.T1) (J.Goldenberg)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,5,00:10:10,00:01:50,00:00:00,20,NOP,free throw,,,,,,,1,,2,Anthony Davis,1,,,made,,Free Throw 1 of 2,,,,,,Davis Free Throw 1 of 2 (1 PTS)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:10:10,00:01:50,00:00:00,23,NOP,free throw,,,,,,,2,,2,Anthony Davis,1,,,made,,Free Throw 2 of 2,,,,,,Davis Free Throw 2 of 2 (2 PTS)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:56,00:02:04,00:00:14,24,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Step Back Jump Shot,25,-125,217,37.5,26.7,MISS Rubio 25' 3PT Step Back Jump Shot
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:52,00:02:08,00:00:04,25,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:43,00:02:17,00:00:09,26,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Floating Jump Shot,13,39,121,28.9,76.9,MISS Randle 13' Floating Jump Shot
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:41,00:02:19,00:00:02,27,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:33,00:02:27,00:00:08,28,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Pullup Jump Shot,25,220,110,3.0,16.0,MISS Ingles 25' 3PT Pullup Jump Shot
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:30,00:02:30,00:00:03,29,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:20,00:02:40,00:00:10,30,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Turnaround Jump Shot,3,-31,6,21.9,88.4,MISS Payton 3' Turnaround Jump Shot
"=""0021800971""",2018-2019 Regular Season,2019-03-06,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Kenrich Williams,Anthony Davis,Julius Randle,Jrue Holiday,Elfrid Payton,1,5,6,00:09:16,00:02:44,00:00:04,31,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound offensive,,,,,,Payton REBOUND (Off:1 Def:1)
