game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,4,BOS,jump ball,,Al Horford,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Terry Rozier,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Horford: Tip to Rozier
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:45,0:00:15,0:00:15,7,BOS,shot,Terry Rozier,,,,,,,,,Marcus Morris,2,,,made,,Pullup Jump Shot,14,-40,135,29,18.5,Morris 14' Pullup Jump Shot (2 PTS) (Rozier 1 AST)
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:27,0:00:33,0:00:18,8,SAC,turnover,,,,,,,,,,Bogdan Bogdanovic,,,bad pass ,,Marcus Smart,bad pass ,,,,,,"Smart STEAL (1 STL), Bogdanovic Bad Pass Turnover (P1.T1)"
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,0:11:22,0:00:38,0:00:05,52,BOS,turnover,,,,,,,,,,Marcus Smart,,,bad pass ,,Bogdan Bogdanovic,bad pass ,,,,,,"Smart Bad Pass Turnover (P1.T1), Bogdanovic STEAL (1 STL)"
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,0:11:15,0:00:45,0:00:07,12,SAC,shot,Buddy Hield,,,,,,,,,Willie Cauley-Stein,2,,,made,,Alley Oop Layup,1,8,12,25.8,87.8,Cauley-Stein 1' Alley Oop Layup (2 PTS) (Hield 1 AST)
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,0:11:03,0:00:57,0:00:12,14,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,3,,,made,,Jump Shot,26,164,197,8.6,24.7,Smart 26' 3PT Jump Shot (3 PTS) (Tatum 1 AST)
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,0:10:48,0:01:12,0:00:15,16,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Floating Jump Shot,9,11,88,26.1,80.2,MISS Fox 9' Floating Jump Shot
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,0:10:45,0:01:15,0:00:03,17,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
0021800973,2018-2019 Regular Season,3/6/2019,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Terry Rozier,Bogdan Bogdanovic,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,0:10:39,0:01:21,0:00:06,18,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Jump Shot,25,-119,225,36.9,27.5,MISS Smart 25' 3PT Jump Shot
