game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Myles Turner,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Turner: Tip to Antetokounmpo
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:44,00:00:16,00:00:16,7,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,27,-78,255,17.2,63.5,Lopez 27' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,2,3,00:11:27,00:00:33,00:00:17,9,IND,shot,Myles Turner,,,,,,,,,Bojan Bogdanovic,2,,,made,,unknown,1,-5,8,25.5,5.8,Bogdanovic 1' Cutting Layup Shot (2 PTS) (Turner 1 AST)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,2,3,00:11:14,00:00:46,00:00:13,11,IND,foul,,,,,,,,Giannis Antetokounmpo,,Myles Turner,,,s.foul,,,s.foul,,,,,,Turner S.FOUL (P1.T1) (N.Buchert)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,2,4,00:11:14,00:00:46,00:00:00,13,MIL,free throw,,,,,,,1,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 1 of 2,,,,,,Antetokounmpo Free Throw 1 of 2 (1 PTS)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,2,5,00:11:14,00:00:46,00:00:00,14,MIL,free throw,,,,,,,2,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 2 of 2,,,,,,Antetokounmpo Free Throw 2 of 2 (2 PTS)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,5,5,00:10:54,00:01:06,00:00:20,15,IND,shot,Darren Collison,,,,,,,,,Myles Turner,3,,,made,,Jump Shot,25,32,251,21.8,30.1,Turner 25' 3PT Jump Shot (3 PTS) (Collison 1 AST)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,5,8,00:10:41,00:01:19,00:00:13,17,MIL,shot,Khris Middleton,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,24,239,27,48.9,86.3,Lopez 24' 3PT Jump Shot (6 PTS) (Middleton 1 AST)
"=""0021800975""",2018-2019 Regular Season,2019-03-07,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,5,8,00:10:18,00:01:42,00:00:23,19,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,23,228,27,2.2,7.7,MISS Turner  3PT Jump Shot
