game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bobby Portis,Cody Zeller,,,,,,,Cody Zeller,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Zeller vs. Portis: Tip to Walker
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:11:45,00:00:15,00:00:15,7,CHA,shot,Kemba Walker,,,,,,,,,Cody Zeller,2,,,made,,unknown,1,0,8,25.0,88.2,Zeller 1' Driving Layup (2 PTS) (Walker 1 AST)
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:11:28,00:00:32,00:00:17,9,WAS,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,25,221,117,2.9,16.7,MISS Ariza 25' 3PT Jump Shot
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:11:26,00:00:34,00:00:02,10,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:11:23,00:00:37,00:00:03,11,WAS,violation,,,,,,,,,,Tomas Satoransky,,,,,,violation:kicked ball,,,,,,Satoransky Violation:Kicked Ball (D.Guthrie)
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:11:07,00:00:53,00:00:16,13,CHA,turnover,,,,,,,,,,Marvin Williams,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Williams Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:10:56,00:01:04,00:00:11,14,WAS,turnover,,,,,,,,,,Tomas Satoransky,,,bad pass ,,Marvin Williams,bad pass ,,,,,,"Satoransky Bad Pass Turnover (P1.T1), Williams STEAL (1 STL)"
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:10:49,00:01:11,00:00:07,16,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Layup,2,-9,20,24.1,87.0,MISS Bridges 2' Layup
"=""0021800977""",2018-2019 Regular Season,2019-03-08,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,1,0,2,00:10:46,00:01:14,00:00:03,17,WAS,rebound,,,,,,,,,,Trevor Ariza,,,,,,rebound defensive,,,,,,Ariza REBOUND (Off:0 Def:1)
